generation,round_index,role_name,inventory,backlog,order_placed,shipment_received,shipment_sent_downstream,cost
1,1,Retailer,1,0,14,0,0,0.5
1,1,Wholesaler,1,0,16,0,0,0.5
1,1,Distributor,1,0,16,0,0,0.5
1,1,Factory,1,0,16,0,0,0.5
1,2,Retailer,0,11,16,0,0,11.5
1,2,Wholesaler,0,11,16,0,0,11.5
1,2,Distributor,0,11,14,0,0,11.5
1,2,Factory,0,11,15,0,0,11.5
1,3,Retailer,0,20,18,0,0,31.5
1,3,Wholesaler,0,20,18,0,0,31.5
1,3,Distributor,0,20,20,0,0,31.5
1,3,Factory,0,20,16,0,0,31.5
1,4,Retailer,6,20,18,14,0,54.5
1,4,Wholesaler,8,20,20,16,0,55.5
1,4,Distributor,8,20,18,16,0,55.5
1,4,Factory,8,20,18,16,0,55.5
1,5,Retailer,13,20,18,16,0,81.0
1,5,Wholesaler,15,20,18,16,0,83.0
1,5,Distributor,13,20,17,14,0,82.0
1,5,Factory,14,20,12,15,0,82.5
1,6,Retailer,19,20,20,18,0,110.5
1,6,Wholesaler,21,20,16,18,0,113.5
1,6,Distributor,21,20,18,20,0,112.5
1,6,Factory,18,20,16,16,0,111.5
1,7,Retailer,29,20,18,18,0,145.0
1,7,Wholesaler,33,20,18,20,0,150.0
1,7,Distributor,31,20,13,18,0,148.0
1,7,Factory,28,20,14,18,0,145.5
1,8,Retailer,36,20,17,18,0,183.0
1,8,Wholesaler,40,20,16,18,0,190.0
1,8,Distributor,37,20,18,17,0,186.5
1,8,Factory,29,20,16,12,0,180.0
1,9,Retailer,47,20,12,20,0,226.5
1,9,Wholesaler,47,20,18,16,0,233.5
1,9,Distributor,46,20,16,18,0,229.5
1,9,Factory,36,20,18,16,0,218.0
1,10,Retailer,57,20,14,18,0,275.0
1,10,Wholesaler,57,20,17,18,0,282.0
1,10,Distributor,51,20,14,13,0,275.0
1,10,Factory,42,20,17,14,0,259.0
1,11,Retailer,66,20,16,17,0,328.0
1,11,Wholesaler,65,20,18,16,0,334.5
1,11,Distributor,61,20,13,18,0,325.5
1,11,Factory,50,20,18,16,0,304.0
1,12,Retailer,67,20,18,12,0,381.5
1,12,Wholesaler,72,20,18,18,0,390.5
1,12,Distributor,66,20,16,16,0,378.5
1,12,Factory,57,20,17,18,0,352.5
