generation,round_index,role_name,inventory,backlog,order_placed,shipment_received,shipment_sent_downstream,profit
1,1,Retailer,38,0,10,10,12,41.0
1,1,Wholesaler,38,10,10,10,12,41.0
1,1,Distributor,38,10,10,10,12,41.0
1,1,Factory,38,10,10,10,12,41.0
1,2,Retailer,42,0,12,10,6,50.0
1,2,Wholesaler,32,12,12,10,16,105.0
1,2,Distributor,22,12,16,10,26,160.0
1,2,Factory,12,16,10,10,36,215.0
1,3,Retailer,38,0,12,12,16,111.0
1,3,Wholesaler,16,12,12,12,28,237.0
1,3,Distributor,0,18,16,12,34,324.0
1,3,Factory,0,44,20,10,22,297.0
1,4,Retailer,44,0,12,16,10,139.0
1,4,Wholesaler,20,12,10,26,22,337.0
1,4,Distributor,0,14,20,36,36,500.0
1,4,Factory,0,90,30,10,10,277.0
1,5,Retailer,61,0,12,28,11,163.5
1,5,Wholesaler,31,12,10,34,23,436.5
1,5,Distributor,0,25,25,22,22,595.0
1,5,Factory,0,117,30,20,20,285.0
1,6,Retailer,78,0,12,22,5,149.5
1,6,Wholesaler,50,12,12,36,17,496.5
1,6,Distributor,0,44,25,10,10,613.0
1,6,Factory,0,122,20,30,30,338.0
1,7,Retailer,93,0,12,23,8,143.0
1,7,Wholesaler,52,12,12,22,20,570.5
1,7,Distributor,0,56,30,20,20,669.0
1,7,Factory,0,142,20,30,30,376.0
