generation,pair,round_actions,payoffs,reasoning_A,reasoning_B,score_A,score_B
1,Agent_0-Agent_1,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,3,3
1,Agent_2-Agent_3,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation","Win-Stay, Lose-Shift: default cooperation",3,3
1,Agent_4-Agent_5,C-C,3-3,Always Cooperate strategy,Tit-for-Tat: starting with cooperation,3,3
1,Agent_6-Agent_7,C-C,3-3,Grim Trigger: continuing cooperation,Generous Tit-for-Tat: default cooperation,3,3
2,Agent_0-Agent_1,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,3,3
2,Agent_2-Agent_3,C-C,3-3,"Win-Stay, Lose-Shift: repeating successful move","Win-Stay, Lose-Shift: repeating successful move",3,3
2,Agent_4-Agent_5,C-C,3-3,Always Cooperate strategy,Tit-for-Tat: mirroring opponent's last move,3,3
2,Agent_6-Agent_7,C-C,3-3,Grim Trigger: continuing cooperation,Generous Tit-for-Tat: mirroring last move,3,3
3,Agent_0-Agent_1,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,3,3
3,Agent_2-Agent_3,C-C,3-3,"Win-Stay, Lose-Shift: repeating successful move","Win-Stay, Lose-Shift: repeating successful move",3,3
3,Agent_4-Agent_5,C-C,3-3,Always Cooperate strategy,Tit-for-Tat: mirroring opponent's last move,3,3
3,Agent_6-Agent_7,C-C,3-3,Grim Trigger: continuing cooperation,Generous Tit-for-Tat: mirroring last move,3,3
