generation,round_index,role_name,inventory,backlog,order_placed,shipment_received,shipment_sent_downstream,profit
1,1,Retailer,45,0,10,10,5,2.5
1,1,Wholesaler,45,10,10,10,5,2.5
1,1,Distributor,45,10,0,10,5,2.5
1,1,Factory,45,0,0,10,5,2.5
1,2,Retailer,51,0,10,10,4,-3.0
1,2,Wholesaler,41,10,20,10,14,52.0
1,2,Distributor,31,20,10,10,24,107.0
1,2,Factory,31,10,10,10,24,107.0
1,3,Retailer,51,0,10,5,5,-3.5
1,3,Wholesaler,31,10,20,5,15,111.5
1,3,Distributor,1,20,20,5,35,281.5
1,3,Factory,0,34,30,0,31,248.0
1,4,Retailer,54,0,10,14,11,24.5
1,4,Wholesaler,34,10,20,24,21,199.5
1,4,Distributor,0,36,30,24,25,390.5
1,4,Factory,0,79,30,10,10,249.0
1,5,Retailer,61,0,10,15,8,34.0
1,5,Wholesaler,51,10,20,35,18,264.0
1,5,Distributor,0,43,30,31,31,522.5
1,5,Factory,0,110,30,30,30,319.0
1,6,Retailer,69,0,10,21,13,64.5
1,6,Wholesaler,53,10,20,25,23,352.5
1,6,Distributor,0,76,40,10,10,516.5
1,6,Factory,0,130,30,30,30,379.0
1,7,Retailer,80,0,10,18,7,59.5
1,7,Wholesaler,67,10,20,31,17,404.0
1,7,Distributor,0,83,40,30,30,603.5
1,7,Factory,0,170,40,30,30,399.0
