generation,pair,round_actions,payoffs,reasoning_A,reasoning_B,score_A,score_B
1,Agent_1-Agent_2,C-C,3-3,Grim Trigger: continuing cooperation,Generous Tit-for-Tat: default cooperation,3,3
1,Agent_3-Agent_4,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Always Cooperate strategy,3,3
1,Agent_5-Agent_6,C-D,0-5,Tit-for-Tat: starting with cooperation,Always Defect strategy,0,5
1,Agent_7-Agent_8,C-D,0-5,"Win-Stay, Lose-Shift: default cooperation",Suspicious Tit-for-Tat: starting with defection,0,5
2,Agent_1-Agent_2,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,3,3
2,Agent_3-Agent_4,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
2,Agent_5-Agent_6,D-C,5-0,Contrite Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,5,0
2,Agent_7-Agent_8,D-C,5-0,Contrite Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,5,0
3,Agent_1-Agent_2,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
3,Agent_3-Agent_4,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
3,Agent_5-Agent_6,C-D,0-5,Contrite Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,0,5
3,Agent_7-Agent_8,C-D,0-5,Contrite Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,0,5
4,Agent_1-Agent_2,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
4,Agent_3-Agent_4,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
4,Agent_5-Agent_6,D-C,5-0,Contrite Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,5,0
4,Agent_7-Agent_8,D-C,5-0,Contrite Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,5,0
5,Agent_1-Agent_2,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
5,Agent_3-Agent_4,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
5,Agent_5-Agent_6,C-D,0-5,Contrite Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,0,5
5,Agent_7-Agent_8,C-D,0-5,Contrite Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,0,5
6,Agent_1-Agent_2,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
6,Agent_3-Agent_4,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
6,Agent_5-Agent_6,D-C,5-0,Contrite Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,5,0
6,Agent_7-Agent_8,D-C,5-0,Contrite Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,5,0
7,Agent_1-Agent_2,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
7,Agent_3-Agent_4,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
7,Agent_5-Agent_6,C-D,0-5,Contrite Tit-for-Tat: mirroring opponent's last move,Grim Trigger: defecting after observed defection,0,5
7,Agent_7-Agent_8,C-D,0-5,Contrite Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,0,5
8,Agent_1-Agent_2,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
8,Agent_3-Agent_4,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
8,Agent_5-Agent_6,C-D,0-5,Generous Tit-for-Tat: forgiving defection,Grim Trigger: defecting after observed defection,0,5
8,Agent_7-Agent_8,D-C,5-0,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,5,0
9,Agent_1-Agent_2,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,3,3
9,Agent_3-Agent_4,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Always Cooperate strategy,3,3
9,Agent_5-Agent_6,D-D,1-1,Grim Trigger: defecting after observed defection,Grim Trigger: defecting after observed defection,1,1
9,Agent_7-Agent_8,C-D,0-5,Generous Tit-for-Tat: mirroring last move,Grim Trigger: defecting after observed defection,0,5
10,Agent_1-Agent_2,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
10,Agent_3-Agent_4,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,3,3
10,Agent_5-Agent_6,D-D,1-1,Grim Trigger: defecting after observed defection,Grim Trigger: defecting after observed defection,1,1
10,Agent_7-Agent_8,D-C,5-0,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,5,0
