generation,round_index,role_name,inventory,backlog,order_placed,shipment_received,shipment_sent_downstream,profit
1,1,Retailer,41,0,0,10,9,24.5
1,1,Wholesaler,41,0,20,10,9,24.5
1,1,Distributor,41,20,20,10,9,24.5
1,1,Factory,41,20,9,10,9,24.5
1,2,Retailer,40,0,20,10,11,59.5
1,2,Wholesaler,40,20,20,10,11,59.5
1,2,Distributor,20,20,30,10,31,169.5
1,2,Factory,0,30,20,10,51,279.5
1,3,Retailer,44,0,20,9,5,62.5
1,3,Wholesaler,24,20,25,9,25,172.5
1,3,Distributor,0,41,40,9,29,298.5
1,3,Factory,0,90,70,9,9,274.5
1,4,Retailer,46,0,15,11,9,84.5
1,4,Wholesaler,26,15,25,31,29,304.5
1,4,Distributor,0,44,60,51,51,534.5
1,4,Factory,0,181,150,20,20,253.5
1,5,Retailer,62,0,15,25,9,98.5
1,5,Wholesaler,31,15,24,29,24,409.0
1,5,Distributor,0,83,90,9,9,520.5
1,5,Factory,0,210,150,70,70,483.5
1,6,Retailer,82,0,15,29,9,102.5
1,6,Wholesaler,58,15,24,51,24,500.0
1,6,Distributor,0,111,120,20,20,533.5
1,6,Factory,0,200,100,150,150,1153.5
1,7,Retailer,95,0,15,24,11,110.0
1,7,Wholesaler,41,15,30,9,26,609.5
1,7,Distributor,0,97,120,70,70,816.5
1,7,Factory,0,240,140,150,150,1783.5
