generation,pair,round_actions,payoffs,reasoning_A,reasoning_B,score_A,score_B
1,Agent_0-Agent_1,C-C,3-3,Grim Trigger: continuing cooperation,Tit-for-Tat: starting with cooperation,3,3
1,Agent_2-Agent_3,D-C,5-0,Always Defect strategy,Grim Trigger: continuing cooperation,5,0
1,Agent_4-Agent_5,C-C,3-3,Tit-for-Tat: starting with cooperation,Random strategy: unpredictable decision,3,3
1,Agent_6-Agent_7,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Generous Tit-for-Tat: default cooperation,3,3
1,Agent_8-Agent_9,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Always Cooperate strategy,3,3
2,Agent_0-Agent_1,C-C,3-3,Grim Trigger: continuing cooperation,Tit-for-Tat: mirroring opponent's last move,3,3
2,Agent_2-Agent_3,D-D,1-1,Always Defect strategy,Grim Trigger: defecting after observed defection,1,1
2,Agent_4-Agent_5,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Random strategy: unpredictable decision,3,3
2,Agent_6-Agent_7,C-C,3-3,Contrite Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,3,3
2,Agent_8-Agent_9,C-C,3-3,Contrite Tit-for-Tat: mirroring opponent's last move,Always Cooperate strategy,3,3
3,Agent_0-Agent_1,C-C,3-3,Grim Trigger: continuing cooperation,Tit-for-Tat: mirroring opponent's last move,3,3
3,Agent_2-Agent_3,D-D,1-1,Always Defect strategy,Grim Trigger: defecting after observed defection,1,1
3,Agent_4-Agent_5,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Random strategy: unpredictable decision,3,3
3,Agent_6-Agent_7,C-C,3-3,Contrite Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,3,3
3,Agent_8-Agent_9,C-C,3-3,Contrite Tit-for-Tat: mirroring opponent's last move,Always Cooperate strategy,3,3
