generation,round_index,role_name,inventory,backlog,order_placed,shipment_received,shipment_sent_downstream,profit
1,1,Retailer,34,0,6,0,6,13.0
1,1,Wholesaler,34,6,6,0,6,13.0
1,1,Distributor,34,6,12,0,6,13.0
1,1,Factory,34,12,6,0,6,13.0
1,2,Retailer,25,0,6,0,9,45.5
1,2,Wholesaler,19,6,6,0,15,78.5
1,2,Distributor,13,6,10,0,21,111.5
1,2,Factory,1,10,10,0,33,177.5
1,3,Retailer,16,0,10,0,9,82.5
1,3,Wholesaler,4,10,10,0,15,151.5
1,3,Distributor,0,18,15,0,13,168.5
1,3,Factory,0,37,22,0,1,160.5
1,4,Retailer,12,0,10,6,10,126.5
1,4,Wholesaler,0,20,10,6,10,191.5
1,4,Distributor,0,32,15,6,6,176.5
1,4,Factory,0,52,37,6,6,153.5
1,5,Retailer,10,0,12,15,17,206.5
1,5,Wholesaler,0,28,10,21,21,280.5
1,5,Distributor,0,30,15,33,33,321.5
1,5,Factory,0,90,75,10,10,128.5
1,6,Retailer,11,0,12,15,14,271.0
1,6,Wholesaler,0,41,20,13,13,316.5
1,6,Distributor,0,62,12,1,1,284.5
1,6,Factory,0,81,69,22,22,169.5
1,7,Retailer,13,0,10,10,8,304.5
1,7,Wholesaler,0,53,45,6,6,303.5
1,7,Distributor,0,107,20,6,6,252.5
1,7,Factory,0,70,50,37,37,304.5
