| generation | round_index | role_name   | inventory | backlog | order_placed | shipment_received | shipment_sent_downstream | profit |
| ---------- | ----------- | ----------- | --------- | ------- | ------------ | ----------------- | ------------------------ | ------ |
| 1          | 1           | Distributor | 27        | 12      | 12           | 0                 | 13                       | 51.5   |
| 1          | 2           | Distributor | 0         | 16      | 12           | 0                 | 27                       | 182.5  |
| 1          | 3           | Distributor | 0         | 36      | 20           | 0                 | 0                        | 158.5  |
| 1          | 4           | Distributor | 0         | 48      | 12           | 13                | 13                       | 187.5  |
| 1          | 5           | Distributor | 0         | 58      | 12           | 27                | 27                       | 274.5  |
| 1          | 6           | Distributor | 0         | 82      | 15           | 0                 | 0                        | 216.5  |
| 1          | 7           | Distributor | 0         | 95      | 15           | 12                | 12                       | 193.5  |
| 1          | 1           | Factory     | 27        | 12      | 12           | 0                 | 13                       | 51.5   |
| 1          | 2           | Factory     | 0         | 24      | 15           | 0                 | 27                       | 174.5  |
| 1          | 3           | Factory     | 0         | 44      | 15           | 0                 | 0                        | 150.5  |
| 1          | 4           | Factory     | 0         | 57      | 15           | 12                | 12                       | 165.5  |
| 1          | 5           | Factory     | 0         | 81      | 12           | 15                | 15                       | 171.5  |
| 1          | 6           | Factory     | 0         | 81      | 13           | 15                | 15                       | 180.5  |
| 1          | 7           | Factory     | 0         | 93      | 12           | 15                | 15                       | 177.5  |
| 1          | 1           | Retailer    | 27        | 0       | 10           | 0                 | 13                       | 51.5   |
| 1          | 2           | Retailer    | 18        | 0       | 9            | 0                 | 9                        | 87.5   |
| 1          | 3           | Retailer    | 13        | 0       | 10           | 0                 | 5                        | 106.0  |
| 1          | 4           | Retailer    | 15        | 0       | 10           | 13                | 11                       | 153.5  |
| 1          | 5           | Retailer    | 29        | 0       | 10           | 19                | 5                        | 164.0  |
| 1          | 6           | Retailer    | 25        | 0       | 10           | 8                 | 12                       | 211.5  |
| 1          | 7           | Retailer    | 26        | 0       | 10           | 13                | 12                       | 258.5  |
| 1          | 1           | Wholesaler  | 27        | 10      | 12           | 0                 | 13                       | 51.5   |
| 1          | 2           | Wholesaler  | 8         | 9       | 12           | 0                 | 19                       | 142.5  |
| 1          | 3           | Wholesaler  | 0         | 16      | 12           | 0                 | 8                        | 176.5  |
| 1          | 4           | Wholesaler  | 0         | 24      | 12           | 13                | 13                       | 227.5  |
| 1          | 5           | Wholesaler  | 0         | 12      | 10           | 27                | 27                       | 360.5  |
| 1          | 6           | Wholesaler  | 0         | 34      | 24           | 0                 | 0                        | 336.5  |
| 1          | 7           | Wholesaler  | 0         | 43      | 12           | 13                | 13                       | 368.5  |
|            |             |             |           |         |              |                   |                          |        |
