generation,pair,round_actions,payoffs,reasoning_A,reasoning_B,score_A,score_B
1,Agent_5-Agent_0,C-D,0-5,Grim Trigger: continuing cooperation,Suspicious Tit-for-Tat: starting with defection,0,5
1,Agent_8-Agent_3,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,3,3
1,Agent_1-Agent_4,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation",Generous Tit-for-Tat: default cooperation,3,3
1,Agent_6-Agent_9,C-C,3-3,Tit-for-Tat: starting with cooperation,Grim Trigger: continuing cooperation,3,3
1,Agent_2-Agent_7,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation",Random strategy: unpredictable decision,3,3
2,Agent_2-Agent_8,C-C,3-3,Generous Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: mirroring opponent's last move,3,3
2,Agent_4-Agent_1,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation",Generous Tit-for-Tat: default cooperation,3,3
2,Agent_3-Agent_0,C-C,3-3,Contrite Tit-for-Tat: mirroring opponent's last move,Suspicious Tit-for-Tat: mirroring opponent's move,3,3
2,Agent_1-Agent_0,C-D,0-5,"Win-Stay, Lose-Shift: repeating successful move",Always Defect strategy,0,5
2,Agent_4-Agent_3,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Grim Trigger: continuing cooperation,3,3
3,Agent_4-Agent_1,C-C,3-3,"Win-Stay, Lose-Shift: repeating successful move",Generous Tit-for-Tat: mirroring last move,3,3
3,Agent_8-Agent_3,C-C,3-3,Contrite Tit-for-Tat: mirroring opponent's last move,Always Cooperate strategy,3,3
3,Agent_2-Agent_0,C-D,0-5,Tit-for-Tat: starting with cooperation,Always Defect strategy,0,5
3,Agent_2-Agent_0,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Grim Trigger: continuing cooperation,3,3
3,Agent_1-Agent_4,C-C,3-3,Generous Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,3,3
4,Agent_0-Agent_4,D-C,5-0,Always Defect strategy,"Win-Stay, Lose-Shift: repeating successful move",5,0
4,Agent_1-Agent_4,C-D,0-5,Generous Tit-for-Tat: mirroring last move,Random strategy: unpredictable decision,0,5
4,Agent_8-Agent_1,C-C,3-3,Contrite Tit-for-Tat: mirroring opponent's last move,Contrite Tit-for-Tat: default cooperation,3,3
4,Agent_0-Agent_3,C-D,0-5,Always Cooperate strategy,Always Defect strategy,0,5
4,Agent_3-Agent_2,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,3,3
5,Agent_3-Agent_3,C-D,0-5,Generous Tit-for-Tat: default cooperation,Always Defect strategy,0,5
5,Agent_2-Agent_0,C-D,0-5,Generous Tit-for-Tat: default cooperation,Always Defect strategy,0,5
5,Agent_1-Agent_4,C-D,0-5,Always Cooperate strategy,Random strategy: unpredictable decision,0,5
5,Agent_8-Agent_4,C-D,0-5,Contrite Tit-for-Tat: mirroring opponent's last move,Suspicious Tit-for-Tat: starting with defection,0,5
5,Agent_1-Agent_0,C-C,3-3,Contrite Tit-for-Tat: mirroring opponent's last move,Grim Trigger: continuing cooperation,3,3
6,Agent_1-Agent_3,C-D,0-5,"Win-Stay, Lose-Shift: default cooperation",Always Defect strategy,0,5
6,Agent_2-Agent_0,D-D,1-1,Suspicious Tit-for-Tat: starting with defection,Always Defect strategy,1,1
6,Agent_0-Agent_3,D-C,5-0,Always Defect strategy,Contrite Tit-for-Tat: default cooperation,5,0
6,Agent_4-Agent_4,C-C,3-3,Suspicious Tit-for-Tat: mirroring opponent's move,Grim Trigger: continuing cooperation,3,3
