Generation,Average_Score,Pareto_Efficiency,Nash_Deviation,Strategy_Diversity,mutual_cooperation,mutual_defection,temptation_payoffs,sucker_payoffs,total_payoffs
1,2.9,0.9666666666666667,1.0,10,4,0,0,1,29
2,2.9,0.9666666666666667,1.0,10,4,0,0,1,29
3,2.9,0.9666666666666667,1.0,10,4,0,0,1,29
4,2.7,0.9,1.0,10,2,0,1,2,27
5,2.6,0.8666666666666667,1.0,10,1,0,0,4,26
6,2.3,0.7666666666666667,0.8,10,1,1,1,2,23
7,2.7,0.9,1.0,10,2,0,2,1,27
8,2.4,0.8,0.8,10,2,1,2,0,24
9,2.5,0.8333333333333334,0.8,10,3,1,1,0,25
10,2.8,0.9333333333333333,1.0,10,3,0,0,2,28
11,2.2,0.7333333333333333,0.6,10,3,2,0,0,22
12,2.6,0.8666666666666667,0.8,10,4,1,0,0,26
13,2.9,0.9666666666666667,1.0,10,4,0,1,0,29
14,2.5,0.8333333333333334,0.8,10,3,1,1,0,25
15,2.9,0.9666666666666667,1.0,10,4,0,1,0,29
16,2.6,0.8666666666666667,0.8,10,4,1,0,0,26
17,2.4,0.8,0.8,10,2,1,0,2,24
18,2.6,0.8666666666666667,0.8,10,4,1,0,0,26
19,3.0,1.0,1.0,10,5,0,0,0,30
20,2.5,0.8333333333333334,0.8,10,3,1,0,1,25
21,2.9,0.9666666666666667,1.0,10,4,0,1,0,29
22,2.5,0.8333333333333334,0.8,10,3,1,0,1,25
23,2.9,0.9666666666666667,1.0,10,4,0,1,0,29
24,2.8,0.9333333333333333,1.0,10,3,0,0,2,28
25,2.1,0.7,0.6,10,2,2,1,0,21
26,3.0,1.0,1.0,10,5,0,0,0,30
27,2.8,0.9333333333333333,1.0,10,3,0,2,0,28
28,2.9,0.9666666666666667,1.0,10,4,0,0,1,29
29,2.8,0.9333333333333333,1.0,10,3,0,0,2,28
30,2.9,0.9666666666666667,1.0,10,4,0,1,0,29
31,3.0,1.0,1.0,10,5,0,0,0,30
32,3.0,1.0,1.0,10,5,0,0,0,30
33,3.0,1.0,1.0,10,5,0,0,0,30
34,2.6,0.8666666666666667,0.8,10,4,1,0,0,26
35,2.8,0.9333333333333333,1.0,10,3,0,2,0,28
36,2.9,0.9666666666666667,1.0,10,4,0,1,0,29
37,2.8,0.9333333333333333,1.0,10,3,0,2,0,28
38,2.9,0.9666666666666667,1.0,10,4,0,1,0,29
39,2.7,0.9,1.0,10,2,0,0,3,27
40,2.4,0.8,0.8,10,2,1,2,0,24
