generation,round_index,role_name,inventory,backlog,order_placed,shipment_received,shipment_sent_downstream,cost
1,1,Retailer,9,0,10,0,11,-12.0
1,1,Wholesaler,9,10,12,0,11,-12.0
1,1,Distributor,9,12,10,0,11,-12.0
1,1,Factory,9,10,12,0,11,-12.0
1,2,Retailer,2,0,10,0,7,-21.5
1,2,Wholesaler,0,18,12,0,0,-4.0
1,2,Distributor,0,22,10,0,0,-2.0
1,2,Factory,0,18,12,0,0,-4.0
1,3,Retailer,0,10,10,0,2,-14.5
1,3,Wholesaler,0,40,12,0,0,26.0
1,3,Distributor,0,46,12,0,0,32.0
1,3,Factory,0,42,12,0,0,26.0
1,4,Retailer,0,6,8,11,1,-10.0
1,4,Wholesaler,0,44,12,11,0,62.0
1,4,Distributor,0,54,12,11,0,74.0
1,4,Factory,0,49,12,12,0,63.0
1,5,Retailer,0,18,18,0,0,8.0
1,5,Wholesaler,0,74,56,0,0,118.0
1,5,Distributor,0,122,20,0,0,140.0
1,5,Factory,0,69,10,12,0,112.0
1,6,Retailer,0,32,20,0,0,40.0
1,6,Wholesaler,0,108,14,0,0,206.0
1,6,Distributor,0,150,12,0,0,276.0
1,6,Factory,0,83,12,12,0,183.0
1,7,Retailer,0,46,12,0,0,86.0
1,7,Wholesaler,0,134,12,0,0,328.0
1,7,Distributor,0,176,14,0,0,440.0
1,7,Factory,0,99,12,12,0,268.0
