generation,pair,round_actions,payoffs,reasoning_A,reasoning_B,score_A,score_B
1,Agent_1-Agent_2,C-C,3-3,Generous Tit-for-Tat: default cooperation,Grim Trigger: continuing cooperation,3,3
1,Agent_3-Agent_4,C-C,3-3,Contrite Tit-for-Tat: default cooperation,"Win-Stay, Lose-Shift: default cooperation",3,3
1,Agent_5-Agent_6,C-D,0-5,Always Cooperate strategy,Always Defect strategy,0,5
1,Agent_7-Agent_8,D-C,5-0,Suspicious Tit-for-Tat: starting with defection,Tit-for-Tat: starting with cooperation,5,0
2,Agent_1-Agent_2,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
2,Agent_3-Agent_4,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
2,Agent_5-Agent_6,D-C,5-0,Contrite Tit-for-Tat: mirroring opponent's last move,Contrite Tit-for-Tat: mirroring opponent's last move,5,0
2,Agent_7-Agent_8,C-D,0-5,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,0,5
3,Agent_1-Agent_2,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
3,Agent_3-Agent_4,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
3,Agent_5-Agent_6,C-D,0-5,Contrite Tit-for-Tat: mirroring opponent's last move,Contrite Tit-for-Tat: mirroring opponent's last move,0,5
3,Agent_7-Agent_8,D-C,5-0,Tit-for-Tat: mirroring opponent's last move,Tit-for-Tat: mirroring opponent's last move,5,0
4,Agent_1-Agent_2,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
4,Agent_3-Agent_4,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
4,Agent_5-Agent_6,D-C,5-0,Contrite Tit-for-Tat: mirroring opponent's last move,Contrite Tit-for-Tat: mirroring opponent's last move,5,0
4,Agent_7-Agent_8,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: forgiving defection,3,3
