generation,pair,round_actions,payoffs,reasoning_A,reasoning_B,score_A,score_B
1,Agent_1-Agent_2,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Always Cooperate strategy,3,3
1,Agent_3-Agent_4,C-C,3-3,Generous Tit-for-Tat: default cooperation,Grim Trigger: continuing cooperation,3,3
1,Agent_5-Agent_6,D-D,1-1,Always Defect strategy,Suspicious Tit-for-Tat: starting with defection,1,1
1,Agent_7-Agent_8,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation",Tit-for-Tat: starting with cooperation,3,3
2,Agent_1-Agent_2,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,3,3
2,Agent_3-Agent_4,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,3,3
2,Agent_5-Agent_6,D-D,1-1,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,1,1
2,Agent_7-Agent_8,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
3,Agent_1-Agent_2,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
3,Agent_3-Agent_4,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
3,Agent_5-Agent_6,D-C,5-0,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: forgiving defection,5,0
3,Agent_7-Agent_8,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,3,3
4,Agent_1-Agent_2,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
4,Agent_3-Agent_4,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
4,Agent_5-Agent_6,C-D,0-5,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,0,5
4,Agent_7-Agent_8,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
