generation,pair,round_actions,payoffs,reasoning_A,reasoning_B,score_A,score_B
1,Agent_0-Agent_1,C-C,3-3,Generous Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,3,3
1,Agent_2-Agent_3,D-C,5-0,Always Defect strategy,Tit-for-Tat: starting with cooperation,5,0
1,Agent_4-Agent_5,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,3,3
1,Agent_6-Agent_7,C-C,3-3,Generous Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,3,3
2,Agent_0-Agent_1,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Contrite Tit-for-Tat: mirroring opponent's last move,3,3
2,Agent_2-Agent_3,D-D,1-1,Always Defect strategy,Tit-for-Tat: mirroring opponent's last move,1,1
2,Agent_4-Agent_5,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,3,3
2,Agent_6-Agent_7,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Contrite Tit-for-Tat: mirroring opponent's last move,3,3
3,Agent_0-Agent_1,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Contrite Tit-for-Tat: mirroring opponent's last move,3,3
3,Agent_2-Agent_3,D-D,1-1,Always Defect strategy,Tit-for-Tat: mirroring opponent's last move,1,1
3,Agent_4-Agent_5,C-C,3-3,Always Cooperate strategy,Always Cooperate strategy,3,3
3,Agent_6-Agent_7,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Contrite Tit-for-Tat: mirroring opponent's last move,3,3
