generation,round_index,role_name,inventory,backlog,order_placed,shipment_received,shipment_sent_downstream,profit
1,1,Retailer,42,0,10,10,8,19.0
1,1,Wholesaler,42,10,10,10,8,19.0
1,1,Distributor,42,10,0,10,8,19.0
1,1,Factory,42,0,0,10,8,19.0
1,2,Retailer,42,0,20,10,10,48.0
1,2,Wholesaler,32,20,20,10,20,103.0
1,2,Distributor,22,20,10,10,30,158.0
1,2,Factory,22,10,20,10,30,158.0
1,3,Retailer,38,0,20,8,12,89.0
1,3,Wholesaler,8,20,20,8,32,259.0
1,3,Distributor,0,42,30,8,30,286.0
1,3,Factory,0,48,30,0,22,250.0
1,4,Retailer,48,0,20,20,10,115.0
1,4,Wholesaler,8,20,20,30,30,405.0
1,4,Distributor,0,62,40,30,30,394.0
1,4,Factory,0,98,30,20,20,292.0
1,5,Retailer,68,0,30,32,12,141.0
1,5,Wholesaler,6,30,20,30,32,562.0
1,5,Distributor,0,92,40,22,22,432.0
1,5,Factory,0,130,60,30,30,352.0
1,6,Retailer,91,0,10,30,7,130.5
1,6,Wholesaler,0,11,30,30,36,741.0
1,6,Distributor,0,138,40,20,20,424.0
1,6,Factory,0,160,60,30,30,382.0
1,7,Retailer,115,0,20,32,8,113.0
1,7,Wholesaler,3,20,20,22,19,834.5
1,7,Distributor,0,147,70,30,30,447.0
1,7,Factory,0,200,50,60,60,552.0
