generation,pair,round_actions,payoffs,reasoning_A,reasoning_B,score_A,score_B
1,Agent_0-Agent_1,D-C,5-0,Suspicious Tit-for-Tat: starting with defection,"Win-Stay, Lose-Shift: default cooperation",5,0
1,Agent_2-Agent_3,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation",Always Cooperate strategy,3,3
1,Agent_4-Agent_5,D-C,5-0,Suspicious Tit-for-Tat: starting with defection,Tit-for-Tat: starting with cooperation,5,0
1,Agent_6-Agent_7,D-C,5-0,Always Defect strategy,Generous Tit-for-Tat: default cooperation,5,0
2,Agent_0-Agent_1,C-D,0-5,Suspicious Tit-for-Tat: mirroring opponent's move,"Win-Stay, Lose-Shift: switching due to low payoff",0,5
2,Agent_2-Agent_3,C-C,3-3,"Win-Stay, Lose-Shift: repeating successful move",Always Cooperate strategy,3,3
2,Agent_4-Agent_5,C-D,0-5,Suspicious Tit-for-Tat: mirroring opponent's move,Tit-for-Tat: mirroring opponent's last move,0,5
2,Agent_6-Agent_7,D-C,5-0,Always Defect strategy,Generous Tit-for-Tat: forgiving defection,5,0
3,Agent_0-Agent_1,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,"Win-Stay, Lose-Shift: repeating successful move",1,1
3,Agent_2-Agent_3,C-C,3-3,"Win-Stay, Lose-Shift: repeating successful move",Always Cooperate strategy,3,3
3,Agent_4-Agent_5,D-C,5-0,Suspicious Tit-for-Tat: mirroring opponent's move,Tit-for-Tat: mirroring opponent's last move,5,0
3,Agent_6-Agent_7,D-C,5-0,Always Defect strategy,Generous Tit-for-Tat: forgiving defection,5,0
