generation,round_index,role_name,inventory,backlog,order_placed,shipment_received,shipment_sent_downstream,cost
1,1,Retailer,0,3,12,0,12,3.0
1,1,Wholesaler,0,15,15,0,12,3.0
1,1,Distributor,0,18,15,0,12,3.0
1,1,Factory,0,18,12,0,12,3.0
1,2,Retailer,0,5,10,0,0,8.0
1,2,Wholesaler,0,27,15,0,0,20.0
1,2,Distributor,0,35,12,0,0,23.0
1,2,Factory,0,32,10,0,0,23.0
1,3,Retailer,0,19,15,0,0,27.0
1,3,Wholesaler,0,56,20,0,0,61.0
1,3,Distributor,0,69,12,0,0,72.0
1,3,Factory,0,58,30,0,0,69.0
1,4,Retailer,0,12,12,0,0,39.0
1,4,Wholesaler,0,61,12,0,0,110.0
1,4,Distributor,0,74,12,0,0,134.0
1,4,Factory,0,63,10,0,0,120.0
1,5,Retailer,0,25,25,0,0,64.0
1,5,Wholesaler,0,99,14,0,0,184.0
1,5,Distributor,0,101,20,0,0,221.0
1,5,Factory,0,86,20,0,0,186.0
1,6,Retailer,0,34,12,0,0,98.0
1,6,Wholesaler,0,120,12,0,0,292.0
1,6,Distributor,0,122,12,0,0,331.0
1,6,Factory,0,77,12,0,0,251.0
1,7,Retailer,0,39,10,0,0,137.0
1,7,Wholesaler,0,135,10,0,0,417.0
1,7,Distributor,0,137,20,0,0,458.0
1,7,Factory,0,92,10,0,0,323.0
