Generation,Average_Score,Pareto_Efficiency,Nash_Deviation,Strategy_Diversity,mutual_cooperation,mutual_defection,temptation_payoffs,sucker_payoffs,total_payoffs
1,2.4,0.8,0.8,10,2,1,2,0,24
2,2.8,0.9333333333333333,1.0,10,3,0,1,1,28
3,2.7,0.9,1.0,10,2,0,1,2,27
4,2.6,0.8666666666666667,1.0,10,1,0,1,3,26
5,1.7,0.5666666666666667,0.4,10,1,3,0,1,17
6,2.6,0.8666666666666667,0.8,10,4,1,0,0,26
7,2.9,0.9666666666666667,1.0,10,4,0,1,0,29
8,2.0,0.6666666666666666,0.6,10,1,2,1,1,20
9,2.6,0.8666666666666667,1.0,10,1,0,4,0,26
10,2.5,0.8333333333333334,0.8,10,3,1,0,1,25
11,2.8,0.9333333333333333,1.0,10,3,0,1,1,28
12,2.4,0.8,0.8,10,2,1,2,0,24
13,2.7,0.9,1.0,10,2,0,3,0,27
14,2.4,0.8,0.8,10,2,1,2,0,24
15,2.8,0.9333333333333333,1.0,10,3,0,2,0,28
16,2.8,0.9333333333333333,1.0,10,3,0,0,2,28
17,2.6,0.8666666666666667,1.0,10,1,0,1,3,26
18,2.8,0.9333333333333333,1.0,10,3,0,1,1,28
19,2.6,0.8666666666666667,1.0,10,1,0,2,2,26
20,1.9,0.6333333333333333,0.6,10,0,2,2,1,19
21,2.4,0.8,0.8,10,2,1,1,1,24
22,2.5,0.8333333333333334,0.8,10,3,1,1,0,25
23,2.8,0.9333333333333333,1.0,10,3,0,1,1,28
24,2.8,0.9333333333333333,1.0,10,3,0,1,1,28
25,2.8,0.9333333333333333,1.0,10,3,0,1,1,28
26,2.8,0.9333333333333333,1.0,10,3,0,1,1,28
27,2.8,0.9333333333333333,1.0,10,3,0,1,1,28
28,2.7,0.9,1.0,10,2,0,2,1,27
29,2.4,0.8,0.8,10,2,1,0,2,24
30,2.7,0.9,1.0,10,2,0,1,2,27
31,2.0,0.6666666666666666,0.6,10,1,2,2,0,20
32,2.4,0.8,0.8,10,2,1,0,2,24
33,2.7,0.9,1.0,10,2,0,3,0,27
34,2.4,0.8,0.8,10,2,1,2,0,24
35,2.6,0.8666666666666667,1.0,10,1,0,2,2,26
36,2.6,0.8666666666666667,1.0,10,1,0,3,1,26
37,2.7,0.9,1.0,10,2,0,1,2,27
38,2.3,0.7666666666666667,0.8,10,1,1,1,2,23
39,2.3,0.7666666666666667,0.8,10,1,1,2,1,23
40,2.1,0.7,0.6,10,2,2,0,1,21
41,2.5,0.8333333333333334,0.8,10,3,1,0,1,25
42,2.8,0.9333333333333333,1.0,10,3,0,1,1,28
43,2.9,0.9666666666666667,1.0,10,4,0,1,0,29
44,2.7,0.9,1.0,10,2,0,0,3,27
45,2.5,0.8333333333333334,0.8,10,3,1,0,1,25
46,2.8,0.9333333333333333,1.0,10,3,0,1,1,28
47,2.7,0.9,1.0,10,2,0,2,1,27
48,2.7,0.9,1.0,10,2,0,1,2,27
49,2.6,0.8666666666666667,1.0,10,1,0,3,1,26
50,2.3,0.7666666666666667,0.8,10,1,1,3,0,23
51,2.6,0.8666666666666667,1.0,10,1,0,2,2,26
52,2.4,0.8,0.8,10,2,1,0,2,24
53,2.6,0.8666666666666667,1.0,10,1,0,2,2,26
54,2.8,0.9333333333333333,1.0,10,3,0,0,2,28
55,2.6,0.8666666666666667,0.8,10,4,1,0,0,26
56,2.8,0.9333333333333333,1.0,10,3,0,1,1,28
57,2.9,0.9666666666666667,1.0,10,4,0,0,1,29
58,2.8,0.9333333333333333,1.0,10,3,0,1,1,28
59,2.7,0.9,1.0,10,2,0,2,1,27
60,2.7,0.9,1.0,10,2,0,1,2,27
61,2.0,0.6666666666666666,0.6,10,1,2,1,1,20
62,2.5,0.8333333333333334,1.0,10,0,0,2,3,25
63,2.3,0.7666666666666667,0.8,10,1,1,3,0,23
64,2.3,0.7666666666666667,0.8,10,1,1,1,2,23
65,2.1,0.7,0.6,10,2,2,1,0,21
66,2.9,0.9666666666666667,1.0,10,4,0,1,0,29
67,2.8,0.9333333333333333,1.0,10,3,0,2,0,28
68,2.7,0.9,1.0,10,2,0,0,3,27
69,2.1,0.7,0.6,10,2,2,0,1,21
70,2.9,0.9666666666666667,1.0,10,4,0,1,0,29
71,2.8,0.9333333333333333,1.0,10,3,0,1,1,28
72,2.7,0.9,1.0,10,2,0,2,1,27
73,2.6,0.8666666666666667,1.0,10,1,0,1,3,26
74,2.0,0.6666666666666666,0.6,10,1,2,1,1,20
75,2.8,0.9333333333333333,1.0,10,3,0,0,2,28
76,2.7,0.9,1.0,10,2,0,0,3,27
77,2.6,0.8666666666666667,1.0,10,1,0,1,3,26
78,2.7,0.9,1.0,10,2,0,1,2,27
79,2.4,0.8,0.8,10,2,1,2,0,24
80,2.3,0.7666666666666667,0.8,10,1,1,1,2,23
81,2.7,0.9,1.0,10,2,0,0,3,27
82,2.7,0.9,1.0,10,2,0,2,1,27
83,2.4,0.8,0.8,10,2,1,2,0,24
84,2.8,0.9333333333333333,1.0,10,3,0,1,1,28
85,2.4,0.8,0.8,10,2,1,1,1,24
86,2.6,0.8666666666666667,1.0,10,1,0,2,2,26
87,2.6,0.8666666666666667,1.0,10,1,0,3,1,26
88,2.1,0.7,0.6,10,2,2,1,0,21
89,2.9,0.9666666666666667,1.0,10,4,0,1,0,29
90,2.8,0.9333333333333333,1.0,10,3,0,2,0,28
91,2.8,0.9333333333333333,1.0,10,3,0,2,0,28
92,2.8,0.9333333333333333,1.0,10,3,0,0,2,28
93,2.5,0.8333333333333334,0.8,10,3,1,1,0,25
94,2.4,0.8,0.8,10,2,1,1,1,24
95,2.4,0.8,0.8,10,2,1,2,0,24
96,2.9,0.9666666666666667,1.0,10,4,0,1,0,29
97,2.9,0.9666666666666667,1.0,10,4,0,1,0,29
98,2.5,0.8333333333333334,0.8,10,3,1,1,0,25
99,2.8,0.9333333333333333,1.0,10,3,0,0,2,28
100,2.5,0.8333333333333334,0.8,10,3,1,1,0,25
