generation,pair,round_actions,payoffs,reasoning_A,reasoning_B,score_A,score_B
1,Agent_8-Agent_9,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Generous Tit-for-Tat: default cooperation,3,3
1,Agent_2-Agent_1,C-C,3-3,Random strategy: unpredictable decision,Contrite Tit-for-Tat: default cooperation,3,3
1,Agent_3-Agent_4,D-C,5-0,Suspicious Tit-for-Tat: starting with defection,Always Cooperate strategy,5,0
1,Agent_0-Agent_5,D-D,1-1,Always Defect strategy,Random strategy: unpredictable decision,1,1
1,Agent_6-Agent_7,D-C,5-0,Suspicious Tit-for-Tat: starting with defection,"Win-Stay, Lose-Shift: default cooperation",5,0
2,Agent_4-Agent_9,C-C,3-3,Grim Trigger: continuing cooperation,Generous Tit-for-Tat: mirroring last move,3,3
2,Agent_3-Agent_2,D-C,5-0,Always Defect strategy,"Win-Stay, Lose-Shift: default cooperation",5,0
2,Agent_3-Agent_6,C-C,3-3,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,3,3
2,Agent_8-Agent_0,C-D,0-5,Contrite Tit-for-Tat: mirroring opponent's last move,Always Defect strategy,0,5
2,Agent_2-Agent_1,C-C,3-3,Random strategy: unpredictable decision,Tit-for-Tat: starting with cooperation,3,3
3,Agent_3-Agent_0,C-D,0-5,Suspicious Tit-for-Tat: mirroring opponent's move,Always Defect strategy,0,5
3,Agent_3-Agent_2,C-D,0-5,Always Cooperate strategy,Always Defect strategy,0,5
3,Agent_3-Agent_0,D-C,5-0,Always Defect strategy,Contrite Tit-for-Tat: default cooperation,5,0
3,Agent_9-Agent_4,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Grim Trigger: continuing cooperation,3,3
3,Agent_4-Agent_1,C-C,3-3,Grim Trigger: continuing cooperation,Contrite Tit-for-Tat: default cooperation,3,3
4,Agent_2-Agent_0,C-C,3-3,Tit-for-Tat: starting with cooperation,Generous Tit-for-Tat: default cooperation,3,3
4,Agent_9-Agent_4,C-D,0-5,Generous Tit-for-Tat: mirroring last move,Always Defect strategy,0,5
4,Agent_2-Agent_3,D-C,5-0,Always Defect strategy,Random strategy: unpredictable decision,5,0
