N,noise,asym,matchup,seed,avg_markup,HHI,time_to_collusion
2,0.0,False,baseline,0,0.0,0.5,
2,0.0,False,baseline,1,0.0,0.5,
2,0.0,False,baseline,2,0.0,0.5,
2,0.0,False,baseline,3,0.0,0.5,
2,0.0,False,baseline,4,0.0,0.5,
2,0.0,False,baseline,5,0.0,0.5,
2,0.0,False,baseline,6,0.0,0.5,
2,0.0,False,baseline,7,0.0,0.5,
2,0.0,False,baseline,8,0.0,0.5,
2,0.0,False,baseline,9,0.0,0.5,
2,0.0,False,baseline,10,0.0,0.5,
2,0.0,False,baseline,11,0.0,0.5,
2,0.0,False,baseline,12,0.0,0.5,
2,0.0,False,baseline,13,0.0,0.5,
2,0.0,False,baseline,14,0.0,0.5,
2,0.0,False,baseline,15,0.0,0.5,
2,0.0,False,baseline,16,0.0,0.5,
2,0.0,False,baseline,17,0.0,0.5,
2,0.0,False,baseline,18,0.0,0.5,
2,0.0,False,baseline,19,0.0,0.5,
2,0.0,False,baseline,20,0.0,0.5,
2,0.0,False,baseline,21,0.0,0.5,
2,0.0,False,baseline,22,0.0,0.5,
2,0.0,False,baseline,23,0.0,0.5,
2,0.0,False,baseline,24,0.0,0.5,
2,0.0,False,baseline,25,0.0,0.5,
2,0.0,False,baseline,26,0.0,0.5,
2,0.0,False,baseline,27,0.0,0.5,
2,0.0,False,baseline,28,0.0,0.5,
2,0.0,False,baseline,29,0.0,0.5,
2,0.0,False,baseline,30,0.0,0.5,
2,0.0,False,baseline,31,0.0,0.5,
2,0.0,False,baseline,32,0.0,0.5,
2,0.0,False,baseline,33,0.0,0.5,
2,0.0,False,baseline,34,0.0,0.5,
2,0.0,False,baseline,35,0.0,0.5,
2,0.0,False,baseline,36,0.0,0.5,
2,0.0,False,baseline,37,0.0,0.5,
2,0.0,False,baseline,38,0.0,0.5,
2,0.0,False,baseline,39,0.0,0.5,
2,0.0,False,baseline,40,0.0,0.5,
2,0.0,False,baseline,41,0.0,0.5,
2,0.0,False,baseline,42,0.0,0.5,
2,0.0,False,baseline,43,0.0,0.5,
2,0.0,False,baseline,44,0.0,0.5,
2,0.0,False,baseline,45,0.0,0.5,
2,0.0,False,baseline,46,0.0,0.5,
2,0.0,False,baseline,47,0.0,0.5,
2,0.0,False,baseline,48,0.0,0.5,
2,0.0,False,baseline,49,0.0,0.5,
2,0.0,False,baseline,50,0.0,0.5,
2,0.0,False,baseline,51,0.0,0.5,
2,0.0,False,baseline,52,0.0,0.5,
2,0.0,False,baseline,53,0.0,0.5,
2,0.0,False,baseline,54,0.0,0.5,
2,0.0,False,baseline,55,0.0,0.5,
2,0.0,False,baseline,56,0.0,0.5,
2,0.0,False,baseline,57,0.0,0.5,
2,0.0,False,baseline,58,0.0,0.5,
2,0.0,False,baseline,59,0.0,0.5,
2,0.0,False,baseline,60,0.0,0.5,
2,0.0,False,baseline,61,0.0,0.5,
2,0.0,False,baseline,62,0.0,0.5,
2,0.0,False,baseline,63,0.0,0.5,
2,0.0,False,baseline,64,0.0,0.5,
2,0.0,False,baseline,65,0.0,0.5,
2,0.0,False,baseline,66,0.0,0.5,
2,0.0,False,baseline,67,0.0,0.5,
2,0.0,False,baseline,68,0.0,0.5,
2,0.0,False,baseline,69,0.0,0.5,
2,0.0,False,baseline,70,0.0,0.5,
2,0.0,False,baseline,71,0.0,0.5,
2,0.0,False,baseline,72,0.0,0.5,
2,0.0,False,baseline,73,0.0,0.5,
2,0.0,False,baseline,74,0.0,0.5,
2,0.0,False,baseline,75,0.0,0.5,
2,0.0,False,baseline,76,0.0,0.5,
2,0.0,False,baseline,77,0.0,0.5,
2,0.0,False,baseline,78,0.0,0.5,
2,0.0,False,baseline,79,0.0,0.5,
2,0.0,False,baseline,80,0.0,0.5,
2,0.0,False,baseline,81,0.0,0.5,
2,0.0,False,baseline,82,0.0,0.5,
2,0.0,False,baseline,83,0.0,0.5,
2,0.0,False,baseline,84,0.0,0.5,
2,0.0,False,baseline,85,0.0,0.5,
2,0.0,False,baseline,86,0.0,0.5,
2,0.0,False,baseline,87,0.0,0.5,
2,0.0,False,baseline,88,0.0,0.5,
2,0.0,False,baseline,89,0.0,0.5,
2,0.0,False,baseline,90,0.0,0.5,
2,0.0,False,baseline,91,0.0,0.5,
2,0.0,False,baseline,92,0.0,0.5,
2,0.0,False,baseline,93,0.0,0.5,
2,0.0,False,baseline,94,0.0,0.5,
2,0.0,False,baseline,95,0.0,0.5,
2,0.0,False,baseline,96,0.0,0.5,
2,0.0,False,baseline,97,0.0,0.5,
2,0.0,False,baseline,98,0.0,0.5,
2,0.0,False,baseline,99,0.0,0.5,
2,0.0,False,heuristic,0,0.1,0.5,1.0
2,0.0,False,heuristic,1,0.1,0.5,1.0
2,0.0,False,heuristic,2,0.1,0.5,1.0
2,0.0,False,heuristic,3,0.1,0.5,1.0
2,0.0,False,heuristic,4,0.1,0.5,1.0
2,0.0,False,heuristic,5,0.1,0.5,1.0
2,0.0,False,heuristic,6,0.1,0.5,1.0
2,0.0,False,heuristic,7,0.1,0.5,1.0
2,0.0,False,heuristic,8,0.1,0.5,1.0
2,0.0,False,heuristic,9,0.1,0.5,1.0
2,0.0,False,heuristic,10,0.1,0.5,1.0
2,0.0,False,heuristic,11,0.1,0.5,1.0
2,0.0,False,heuristic,12,0.1,0.5,1.0
2,0.0,False,heuristic,13,0.1,0.5,1.0
2,0.0,False,heuristic,14,0.1,0.5,1.0
2,0.0,False,heuristic,15,0.1,0.5,1.0
2,0.0,False,heuristic,16,0.1,0.5,1.0
2,0.0,False,heuristic,17,0.1,0.5,1.0
2,0.0,False,heuristic,18,0.1,0.5,1.0
2,0.0,False,heuristic,19,0.1,0.5,1.0
2,0.0,False,heuristic,20,0.1,0.5,1.0
2,0.0,False,heuristic,21,0.1,0.5,1.0
2,0.0,False,heuristic,22,0.1,0.5,1.0
2,0.0,False,heuristic,23,0.1,0.5,1.0
2,0.0,False,heuristic,24,0.1,0.5,1.0
2,0.0,False,heuristic,25,0.1,0.5,1.0
2,0.0,False,heuristic,26,0.1,0.5,1.0
