generation,round_index,role_name,inventory,backlog,order_placed,shipment_received,shipment_sent_downstream,cost
1,1,Retailer,2,0,15,0,10,1.0
1,1,Wholesaler,2,15,18,0,10,1.0
1,1,Distributor,2,18,12,0,10,1.0
1,1,Factory,2,12,20,0,10,1.0
1,2,Retailer,0,4,14,0,2,5.0
1,2,Wholesaler,0,33,18,0,2,20.0
1,2,Distributor,0,40,18,0,2,23.0
1,2,Factory,0,34,18,0,2,17.0
1,3,Retailer,0,17,15,0,0,22.0
1,3,Wholesaler,0,61,20,0,0,66.0
1,3,Distributor,0,73,18,0,0,76.0
1,3,Factory,0,65,20,0,0,64.0
1,4,Retailer,0,13,15,0,0,35.0
1,4,Wholesaler,0,72,18,0,0,123.0
1,4,Distributor,0,87,20,0,0,145.0
1,4,Factory,0,91,20,0,0,135.0
1,5,Retailer,0,21,15,0,0,56.0
1,5,Wholesaler,0,95,20,0,0,203.0
1,5,Distributor,0,115,20,0,0,240.0
1,5,Factory,0,121,20,0,0,236.0
1,6,Retailer,0,29,15,0,0,85.0
1,6,Wholesaler,0,118,20,0,0,306.0
1,6,Distributor,0,143,20,0,0,363.0
1,6,Factory,0,149,17,0,0,365.0
1,7,Retailer,0,42,15,0,0,127.0
1,7,Wholesaler,0,146,18,0,0,437.0
1,7,Distributor,0,174,18,0,0,519.0
1,7,Factory,0,180,20,0,0,527.0
