| generation | round_index | role_name   | inventory | backlog | order_placed | shipment_received | shipment_sent_downstream | profit |
| ---------- | ----------- | ----------- | --------- | ------- | ------------ | ----------------- | ------------------------ | ------ |
| 1          | 1           | Retailer    | 13        | 0       | 9            | 0                 | 7                        | 4.0    |
| 1          | 1           | Wholesaler  | 13        | 9       | 9            | 0                 | 7                        | 4.0    |
| 1          | 1           | Distributor | 13        | 9       | 9            | 0                 | 7                        | 4.0    |
| 1          | 1           | Factory     | 13        | 9       | 9            | 0                 | 7                        | 4.0    |
| 1          | 2           | Retailer    | 6         | 0       | 8            | 0                 | 7                        | 11.5   |
| 1          | 2           | Wholesaler  | 0         | 11      | 10           | 0                 | 13                       | 20.5   |
| 1          | 2           | Distributor | 0         | 19      | 12           | 0                 | 13                       | 14.5   |
| 1          | 2           | Factory     | 0         | 21      | 12           | 0                 | 13                       | 14.5   |
| 1          | 3           | Retailer    | 0         | 9       | 12           | 0                 | 6                        | 11.5   |
| 1          | 3           | Wholesaler  | 0         | 29      | 12           | 0                 | 0                        | 3.5    |
| 1          | 3           | Distributor | 0         | 31      | 10           | 0                 | 0                        | -4.5   |
| 1          | 3           | Factory     | 0         | 31      | 10           | 0                 | 0                        | -6.5   |
| 1          | 4           | Retailer    | 0         | 18      | 18           | 7                 | 7                        | 4.0    |
| 1          | 4           | Wholesaler  | 0         | 47      | 12           | 7                 | 7                        | -15.0  |
| 1          | 4           | Distributor | 0         | 43      | 12           | 7                 | 7                        | -25.0  |
| 1          | 4           | Factory     | 0         | 41      | 12           | 9                 | 9                        | -22.0  |
| 1          | 5           | Retailer    | 0         | 16      | 12           | 13                | 13                       | 7.5    |
| 1          | 5           | Wholesaler  | 0         | 59      | 10           | 13                | 13                       | -42.5  |
| 1          | 5           | Distributor | 0         | 53      | 10           | 13                | 13                       | -48.5  |
| 1          | 5           | Factory     | 0         | 52      | 12           | 12                | 12                       | -46.0  |
| 1          | 6           | Retailer    | 0         | 24      | 14           | 0                 | 0                        | -16.5  |
| 1          | 6           | Wholesaler  | 0         | 73      | 12           | 0                 | 0                        | -101.5 |
| 1          | 6           | Distributor | 0         | 65      | 12           | 0                 | 0                        | -101.5 |
| 1          | 6           | Factory     | 0         | 54      | 12           | 10                | 10                       | -73.0  |
| 1          | 7           | Retailer    | 0         | 30      | 15           | 7                 | 7                        | -36.0  |
| 1          | 7           | Wholesaler  | 0         | 88      | 10           | 7                 | 7                        | -164.0 |
| 1          | 7           | Distributor | 0         | 73      | 12           | 9                 | 9                        | -151.0 |
| 1          | 7           | Factory     | 0         | 63      | 12           | 12                | 12                       | -106.0 |
|            |             |             |           |         |              |                   |                          |        |
