Generation,Average_Score,Pareto_Efficiency,Nash_Deviation,Strategy_Diversity,mutual_cooperation,mutual_defection,temptation_payoffs,sucker_payoffs,total_payoffs
1,2.9,0.9666666666666667,1.0,10,4,0,1,0,29
2,2.5,0.8333333333333334,0.8,10,3,1,1,0,25
3,2.9,0.9666666666666667,1.0,10,4,0,1,0,29
4,2.8,0.9333333333333333,1.0,10,3,0,0,2,28
5,2.7,0.9,1.0,10,2,0,1,2,27
6,1.7,0.5666666666666667,0.4,10,1,3,1,0,17
7,2.5,0.8333333333333334,0.8,10,3,1,0,1,25
8,2.7,0.9,1.0,10,2,0,2,1,27
9,2.8,0.9333333333333333,1.0,10,3,0,1,1,28
10,2.4,0.8,0.8,10,2,1,2,0,24
