generation,pair,round_actions,payoffs,reasoning_A,reasoning_B,score_A,score_B
1,Agent_8-Agent_3,D-C,5-0,Always Defect strategy,Tit-for-Tat: starting with cooperation,5,0
1,Agent_4-Agent_6,C-C,3-3,Grim Trigger: continuing cooperation,Grim Trigger: continuing cooperation,3,3
1,Agent_0-Agent_9,C-C,3-3,Grim Trigger: continuing cooperation,Tit-for-Tat: starting with cooperation,3,3
1,Agent_7-Agent_2,C-C,3-3,Generous Tit-for-Tat: default cooperation,Random strategy: unpredictable decision,3,3
1,Agent_1-Agent_5,C-C,3-3,Random strategy: unpredictable decision,Generous Tit-for-Tat: default cooperation,3,3
2,Agent_8-Agent_0,D-D,1-1,Always Defect strategy,Random strategy: unpredictable decision,1,1
2,Agent_6-Agent_2,C-C,3-3,Grim Trigger: continuing cooperation,Contrite Tit-for-Tat: default cooperation,3,3
2,Agent_3-Agent_9,D-C,5-0,Always Defect strategy,Tit-for-Tat: mirroring opponent's last move,5,0
2,Agent_1-Agent_0,C-C,3-3,Always Cooperate strategy,Grim Trigger: continuing cooperation,3,3
2,Agent_4-Agent_4,C-C,3-3,Grim Trigger: continuing cooperation,Contrite Tit-for-Tat: default cooperation,3,3
3,Agent_2-Agent_6,C-C,3-3,Contrite Tit-for-Tat: mirroring opponent's last move,Grim Trigger: continuing cooperation,3,3
3,Agent_3-Agent_2,D-C,5-0,Always Defect strategy,Tit-for-Tat: starting with cooperation,5,0
3,Agent_1-Agent_4,C-C,3-3,Generous Tit-for-Tat: default cooperation,"Win-Stay, Lose-Shift: default cooperation",3,3
3,Agent_0-Agent_3,C-C,3-3,Grim Trigger: continuing cooperation,Generous Tit-for-Tat: default cooperation,3,3
3,Agent_1-Agent_0,C-C,3-3,Always Cooperate strategy,Random strategy: unpredictable decision,3,3
4,Agent_3-Agent_4,C-C,3-3,Contrite Tit-for-Tat: default cooperation,"Win-Stay, Lose-Shift: repeating successful move",3,3
4,Agent_6-Agent_1,C-C,3-3,Grim Trigger: continuing cooperation,Generous Tit-for-Tat: mirroring last move,3,3
4,Agent_4-Agent_2,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation",Contrite Tit-for-Tat: mirroring opponent's last move,3,3
4,Agent_2-Agent_3,C-D,0-5,Always Cooperate strategy,Always Defect strategy,0,5
4,Agent_0-Agent_1,C-D,0-5,Always Cooperate strategy,Always Defect strategy,0,5
5,Agent_1-Agent_1,C-D,0-5,Contrite Tit-for-Tat: default cooperation,Always Defect strategy,0,5
5,Agent_3-Agent_3,C-D,0-5,Contrite Tit-for-Tat: mirroring opponent's last move,Always Defect strategy,0,5
5,Agent_6-Agent_2,C-C,3-3,Grim Trigger: continuing cooperation,Generous Tit-for-Tat: default cooperation,3,3
5,Agent_0-Agent_3,D-C,5-0,Always Defect strategy,"Win-Stay, Lose-Shift: default cooperation",5,0
5,Agent_4-Agent_4,C-C,3-3,Contrite Tit-for-Tat: default cooperation,"Win-Stay, Lose-Shift: repeating successful move",3,3
6,Agent_3-Agent_2,D-C,5-0,Always Defect strategy,Tit-for-Tat: starting with cooperation,5,0
6,Agent_1-Agent_3,D-D,1-1,Always Defect strategy,Always Defect strategy,1,1
6,Agent_6-Agent_2,C-C,3-3,Grim Trigger: continuing cooperation,Generous Tit-for-Tat: mirroring last move,3,3
6,Agent_1-Agent_4,D-D,1-1,Always Defect strategy,Suspicious Tit-for-Tat: starting with defection,1,1
6,Agent_0-Agent_0,D-D,1-1,Always Defect strategy,Always Defect strategy,1,1
7,Agent_3-Agent_6,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation",Grim Trigger: continuing cooperation,3,3
7,Agent_1-Agent_3,D-D,1-1,Always Defect strategy,Always Defect strategy,1,1
7,Agent_2-Agent_2,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Grim Trigger: continuing cooperation,3,3
7,Agent_0-Agent_4,C-C,3-3,Tit-for-Tat: starting with cooperation,Always Cooperate strategy,3,3
7,Agent_1-Agent_3,C-D,0-5,Always Cooperate strategy,Always Defect strategy,0,5
