generation,pair,round_actions,payoffs,reasoning_A,reasoning_B,score_A,score_B
1,Agent_1-Agent_2,C-D,0-5,Grim Trigger: continuing cooperation,Suspicious Tit-for-Tat: starting with defection,0,5
1,Agent_3-Agent_4,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Tit-for-Tat: starting with cooperation,3,3
1,Agent_5-Agent_6,D-C,5-0,Always Defect strategy,Generous Tit-for-Tat: default cooperation,5,0
1,Agent_7-Agent_8,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation",Always Cooperate strategy,3,3
2,Agent_1-Agent_2,C-C,3-3,Generous Tit-for-Tat: forgiving defection,Generous Tit-for-Tat: mirroring last move,3,3
2,Agent_3-Agent_4,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Contrite Tit-for-Tat: mirroring opponent's last move,3,3
2,Agent_5-Agent_6,C-D,0-5,Generous Tit-for-Tat: mirroring last move,Contrite Tit-for-Tat: mirroring opponent's last move,0,5
2,Agent_7-Agent_8,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
3,Agent_1-Agent_2,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,3,3
3,Agent_3-Agent_4,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Contrite Tit-for-Tat: mirroring opponent's last move,3,3
3,Agent_5-Agent_6,D-C,5-0,Generous Tit-for-Tat: mirroring last move,Contrite Tit-for-Tat: mirroring opponent's last move,5,0
3,Agent_7-Agent_8,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,3,3
4,Agent_1-Agent_2,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
4,Agent_3-Agent_4,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,3,3
4,Agent_5-Agent_6,C-D,0-5,Generous Tit-for-Tat: mirroring last move,Contrite Tit-for-Tat: mirroring opponent's last move,0,5
4,Agent_7-Agent_8,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
