generation,round_index,role_name,inventory,backlog,order_placed,shipment_received,shipment_sent_downstream,profit
1,1,Retailer,39,0,30,10,11,35.5
1,1,Wholesaler,39,30,20,10,11,35.5
1,1,Distributor,39,20,10,10,11,35.5
1,1,Factory,39,10,10,10,11,35.5
1,2,Retailer,43,0,30,10,6,44.0
1,2,Wholesaler,13,30,20,10,36,209.0
1,2,Distributor,0,27,40,10,49,273.5
1,2,Factory,0,50,60,10,49,270.5
1,3,Retailer,46,0,25,11,8,61.0
1,3,Wholesaler,0,39,34,11,24,315.0
1,3,Distributor,0,74,70,11,11,288.5
1,3,Factory,0,121,81,10,10,269.5
1,4,Retailer,73,0,25,36,9,69.5
1,4,Wholesaler,1,25,30,49,48,554.5
1,4,Distributor,0,103,110,49,49,460.5
1,4,Factory,0,220,160,60,60,459.5
1,5,Retailer,86,0,25,24,11,81.5
1,5,Wholesaler,0,49,40,11,12,590.5
1,5,Distributor,0,145,135,10,10,405.5
1,5,Factory,0,284,180,81,81,715.5
1,6,Retailer,122,0,20,48,12,80.5
1,6,Wholesaler,0,32,42,49,49,823.5
1,6,Distributor,0,176,180,60,60,571.5
1,6,Factory,0,364,220,160,160,1331.5
1,7,Retailer,124,0,20,12,10,68.5
1,7,Wholesaler,0,52,62,10,10,841.5
1,7,Distributor,0,167,210,81,81,871.5
1,7,Factory,0,475,300,180,180,1966.5
