generation,pair,round_actions,payoffs,reasoning_A,reasoning_B,score_A,score_B
1,Agent_1-Agent_2,C-C,3-3,"Win-Stay, Lose-Shift: default cooperation",Contrite Tit-for-Tat: default cooperation,3,3
1,Agent_3-Agent_4,D-C,5-0,Suspicious Tit-for-Tat: starting with defection,Grim Trigger: continuing cooperation,5,0
1,Agent_5-Agent_6,C-D,0-5,Always Cooperate strategy,Always Defect strategy,0,5
1,Agent_7-Agent_8,C-C,3-3,Generous Tit-for-Tat: default cooperation,Tit-for-Tat: starting with cooperation,3,3
2,Agent_1-Agent_2,C-C,3-3,"Win-Stay, Lose-Shift: repeating successful move",Contrite Tit-for-Tat: mirroring opponent's last move,3,3
2,Agent_3-Agent_4,C-D,0-5,Suspicious Tit-for-Tat: mirroring opponent's move,Grim Trigger: defecting after observed defection,0,5
2,Agent_5-Agent_6,C-D,0-5,Always Cooperate strategy,Always Defect strategy,0,5
2,Agent_7-Agent_8,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,3,3
3,Agent_1-Agent_2,C-C,3-3,"Win-Stay, Lose-Shift: repeating successful move",Contrite Tit-for-Tat: mirroring opponent's last move,3,3
3,Agent_3-Agent_4,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Grim Trigger: defecting after observed defection,1,1
3,Agent_5-Agent_6,C-D,0-5,Always Cooperate strategy,Always Defect strategy,0,5
3,Agent_7-Agent_8,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Tit-for-Tat: mirroring opponent's last move,3,3
