generation,pair,round_actions,payoffs,reasoning_A,reasoning_B,score_A,score_B
1,Agent_1-Agent_2,C-C,3-3,Grim Trigger: continuing cooperation,"Win-Stay, Lose-Shift: default cooperation",3,3
1,Agent_3-Agent_4,C-C,3-3,Generous Tit-for-Tat: default cooperation,Tit-for-Tat: starting with cooperation,3,3
1,Agent_5-Agent_6,D-D,1-1,Always Defect strategy,Suspicious Tit-for-Tat: starting with defection,1,1
1,Agent_7-Agent_8,C-C,3-3,Always Cooperate strategy,Contrite Tit-for-Tat: default cooperation,3,3
2,Agent_1-Agent_2,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
2,Agent_3-Agent_4,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,3,3
2,Agent_5-Agent_6,D-C,5-0,Suspicious Tit-for-Tat: mirroring opponent's move,Generous Tit-for-Tat: forgiving defection,5,0
2,Agent_7-Agent_8,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
3,Agent_1-Agent_2,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
3,Agent_3-Agent_4,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
3,Agent_5-Agent_6,C-C,3-3,Suspicious Tit-for-Tat: mirroring opponent's move,Generous Tit-for-Tat: forgiving defection,3,3
3,Agent_7-Agent_8,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
4,Agent_1-Agent_2,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
4,Agent_3-Agent_4,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,3,3
4,Agent_5-Agent_6,C-C,3-3,Suspicious Tit-for-Tat: mirroring opponent's move,Generous Tit-for-Tat: mirroring last move,3,3
4,Agent_7-Agent_8,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Generous Tit-for-Tat: mirroring last move,3,3
