generation,round_index,role_name,inventory,backlog,order_placed,shipment_received,shipment_sent_downstream,profit
1,1,Retailer,39,0,10,10,11,35.5
1,1,Wholesaler,39,10,10,10,11,35.5
1,1,Distributor,39,10,10,10,11,35.5
1,1,Factory,39,10,10,10,11,35.5
1,2,Retailer,40,0,10,10,9,60.5
1,2,Wholesaler,30,10,10,10,19,115.5
1,2,Distributor,20,10,10,10,29,170.5
1,2,Factory,10,10,10,10,39,225.5
1,3,Retailer,46,0,10,11,5,62.5
1,3,Wholesaler,26,10,10,11,15,177.5
1,3,Distributor,6,10,10,11,25,292.5
1,3,Factory,0,25,10,10,20,310.5
1,4,Retailer,53,0,10,19,12,96.0
1,4,Wholesaler,33,10,10,29,22,271.0
1,4,Distributor,13,10,10,39,32,446.0
1,4,Factory,0,57,10,10,10,313.5
1,5,Retailer,61,0,10,15,7,100.5
1,5,Wholesaler,41,10,10,25,17,335.5
1,5,Distributor,6,10,10,20,27,578.0
1,5,Factory,0,84,10,10,10,289.5
1,6,Retailer,72,0,10,22,11,119.5
1,6,Wholesaler,52,10,10,32,21,414.5
1,6,Distributor,0,25,10,10,16,643.0
1,6,Factory,0,100,10,10,10,249.5
1,7,Retailer,79,0,10,17,10,130.0
1,7,Wholesaler,59,10,10,27,20,485.0
1,7,Distributor,0,45,10,10,10,658.0
1,7,Factory,0,110,10,10,10,199.5
