Generation,Average_Score,Pareto_Efficiency,Nash_Deviation,Strategy_Diversity,best_response_diff,mutual_cooperation,mutual_defection,temptation_payoffs,sucker_payoffs,total_payoffs,strategy_distribution
1,2.5,0.8333333333333334,0.75,8,1.25,3,1,0,0,20,"{'generous_tit_for_tat': 1, 'tit_for_tat': 1, 'win_stay_lose_shift': 1, 'contrite_tit_for_tat': 1, 'always_cooperate': 1, 'grim_trigger': 1, 'suspicious_tit_for_tat': 1, 'always_defect': 1}"
2,2.5,0.8333333333333334,0.75,2,1.25,3,1,0,0,20,"{'generous_tit_for_tat': 5, 'tit_for_tat': 3, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0}"
3,2.5,0.8333333333333334,0.75,2,1.25,3,1,0,0,20,"{'generous_tit_for_tat': 7, 'tit_for_tat': 1, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0}"
4,2.5,0.8333333333333334,0.75,2,1.25,3,1,0,0,20,"{'generous_tit_for_tat': 7, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 1}"
5,2.875,0.9583333333333334,0.75,2,1.5,3,0,1,0,23,"{'generous_tit_for_tat': 7, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 1}"
6,2.5,0.8333333333333334,0.75,2,1.25,3,1,0,0,20,"{'generous_tit_for_tat': 7, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 1, 'suspicious_tit_for_tat': 0, 'always_defect': 0}"
7,2.5,0.8333333333333334,0.75,2,1.25,3,1,0,0,20,"{'generous_tit_for_tat': 7, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 1, 'suspicious_tit_for_tat': 0, 'always_defect': 0}"
8,2.5,0.8333333333333334,0.75,3,1.25,3,1,0,0,20,"{'generous_tit_for_tat': 6, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 1, 'grim_trigger': 1, 'suspicious_tit_for_tat': 0, 'always_defect': 0}"
9,2.875,0.9583333333333334,0.75,4,1.5,3,0,1,0,23,"{'generous_tit_for_tat': 5, 'tit_for_tat': 1, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 1, 'grim_trigger': 1, 'suspicious_tit_for_tat': 0, 'always_defect': 0}"
10,2.5,0.8333333333333334,0.75,3,1.25,3,1,0,0,20,"{'generous_tit_for_tat': 6, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 1, 'grim_trigger': 1, 'suspicious_tit_for_tat': 0, 'always_defect': 0}"
11,2.875,0.9583333333333334,0.75,3,1.5,3,0,1,0,23,"{'generous_tit_for_tat': 4, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 3, 'grim_trigger': 1, 'suspicious_tit_for_tat': 0, 'always_defect': 0}"
12,2.875,0.9583333333333334,0.75,3,1.5,3,0,0,1,23,"{'generous_tit_for_tat': 3, 'tit_for_tat': 3, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 2, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0}"
13,2.875,0.9583333333333334,0.75,3,1.5,3,0,1,0,23,"{'generous_tit_for_tat': 4, 'tit_for_tat': 2, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 2, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0}"
14,2.5,0.8333333333333334,0.75,4,1.25,3,1,0,0,20,"{'generous_tit_for_tat': 3, 'tit_for_tat': 1, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 3, 'grim_trigger': 1, 'suspicious_tit_for_tat': 0, 'always_defect': 0}"
15,2.5,0.8333333333333334,0.75,4,1.25,3,1,0,0,20,"{'generous_tit_for_tat': 4, 'tit_for_tat': 1, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 2, 'grim_trigger': 1, 'suspicious_tit_for_tat': 0, 'always_defect': 0}"
16,2.875,0.9583333333333334,0.75,3,1.5,3,0,1,0,23,"{'generous_tit_for_tat': 5, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 2, 'grim_trigger': 1, 'suspicious_tit_for_tat': 0, 'always_defect': 0}"
17,2.5,0.8333333333333334,0.75,3,1.25,3,1,0,0,20,"{'generous_tit_for_tat': 4, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 3, 'grim_trigger': 1, 'suspicious_tit_for_tat': 0, 'always_defect': 0}"
18,2.5,0.8333333333333334,0.75,3,1.25,3,1,0,0,20,"{'generous_tit_for_tat': 5, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 2, 'grim_trigger': 1, 'suspicious_tit_for_tat': 0, 'always_defect': 0}"
19,2.5,0.8333333333333334,0.75,3,1.25,3,1,0,0,20,"{'generous_tit_for_tat': 4, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 3, 'grim_trigger': 1, 'suspicious_tit_for_tat': 0, 'always_defect': 0}"
20,2.5,0.8333333333333334,0.75,4,1.25,3,1,0,0,20,"{'generous_tit_for_tat': 4, 'tit_for_tat': 1, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 2, 'grim_trigger': 1, 'suspicious_tit_for_tat': 0, 'always_defect': 0}"
21,2.5,0.8333333333333334,0.75,4,1.25,3,1,0,0,20,"{'generous_tit_for_tat': 5, 'tit_for_tat': 1, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 1, 'grim_trigger': 1, 'suspicious_tit_for_tat': 0, 'always_defect': 0}"
22,2.5,0.8333333333333334,0.75,3,1.25,3,1,0,0,20,"{'generous_tit_for_tat': 5, 'tit_for_tat': 1, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 2, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0}"
