run_id,round,action_A,action_B,perceived_B_by_A,perceived_A_by_B,payoff_A,payoff_B,rt_A,rt_B
20250607_005409_1_1749272050,1,Low,Low,Low,Low,3,3,0.0,0.0
20250607_005409_1_1749272050,2,High,Low,Low,High,5,0,0.0,0.0
20250607_005409_1_1749272050,3,Low,High,High,Low,0,5,0.0,0.0
20250607_005409_1_1749272050,4,High,Low,Low,High,5,0,0.0,0.0
20250607_005409_1_1749272050,5,High,High,Low,High,5,1,0.0,0.0
20250607_005409_1_1749272050,6,High,High,High,Low,1,5,0.0,0.0
20250607_005409_1_1749272050,7,High,Low,Low,High,5,0,0.0,0.0
20250607_005409_1_1749272050,8,High,High,High,High,1,1,0.0,0.0
20250607_005409_1_1749272050,9,Low,High,High,Low,0,5,0.0,0.0
20250607_005409_1_1749272050,10,Low,Low,Low,Low,3,3,0.0,0.0
