| generation | round_index | role_name   | inventory | backlog | order_placed | shipment_received | shipment_sent_downstream | cost  |
| ---------- | ----------- | ----------- | --------- | ------- | ------------ | ----------------- | ------------------------ | ----- |
| 1          | 1           | Retailer    | 0         | 2       | 12           | 0                 | 12                       | 2.0   |
| 1          | 1           | Wholesaler  | 0         | 14      | 12           | 0                 | 12                       | 2.0   |
| 1          | 1           | Distributor | 0         | 14      | 12           | 0                 | 12                       | 2.0   |
| 1          | 1           | Factory     | 0         | 14      | 12           | 0                 | 12                       | 2.0   |
| 1          | 2           | Retailer    | 0         | 12      | 14           | 0                 | 0                        | 14.0  |
| 1          | 2           | Wholesaler  | 0         | 38      | 24           | 0                 | 0                        | 26.0  |
| 1          | 2           | Distributor | 0         | 48      | 14           | 0                 | 0                        | 26.0  |
| 1          | 2           | Factory     | 0         | 38      | 14           | 0                 | 0                        | 26.0  |
| 1          | 3           | Retailer    | 0         | 9       | 12           | 12                | 0                        | 23.0  |
| 1          | 3           | Wholesaler  | 0         | 47      | 20           | 12                | 0                        | 61.0  |
| 1          | 3           | Distributor | 0         | 65      | 10           | 12                | 0                        | 71.0  |
| 1          | 3           | Factory     | 0         | 45      | 20           | 12                | 0                        | 61.0  |
| 1          | 4           | Retailer    | 0         | 21      | 12           | 0                 | 0                        | 44.0  |
| 1          | 4           | Wholesaler  | 0         | 71      | 20           | 0                 | 0                        | 120.0 |
| 1          | 4           | Distributor | 0         | 97      | 12           | 0                 | 0                        | 148.0 |
| 1          | 4           | Factory     | 0         | 55      | 20           | 14                | 0                        | 104.0 |
| 1          | 5           | Retailer    | 0         | 35      | 10           | 0                 | 0                        | 79.0  |
| 1          | 5           | Wholesaler  | 0         | 95      | 12           | 0                 | 0                        | 205.0 |
| 1          | 5           | Distributor | 0         | 123     | 12           | 0                 | 0                        | 259.0 |
| 1          | 5           | Factory     | 0         | 61      | 20           | 20                | 0                        | 153.0 |
| 1          | 6           | Retailer    | 0         | 42      | 20           | 0                 | 0                        | 121.0 |
| 1          | 6           | Wholesaler  | 0         | 122     | 0            | 0                 | 0                        | 307.0 |
| 1          | 6           | Distributor | 0         | 130     | 14           | 0                 | 0                        | 389.0 |
| 1          | 6           | Factory     | 0         | 62      | 20           | 20                | 0                        | 201.0 |
| 1          | 7           | Retailer    | 0         | 51      | 12           | 0                 | 0                        | 172.0 |
| 1          | 7           | Wholesaler  | 0         | 143     | 12           | 0                 | 0                        | 438.0 |
| 1          | 7           | Distributor | 0         | 151     | 20           | 0                 | 0                        | 528.0 |
| 1          | 7           | Factory     | 0         | 71      | 20           | 20                | 0                        | 252.0 |
|            |             |             |           |         |              |                   |                          |       |
