generation,round_index,role_name,inventory,backlog,order_placed,shipment_received,shipment_sent_downstream,profit
1,1,Retailer,43,0,10,10,7,13.5
1,1,Wholesaler,43,10,10,10,7,13.5
1,1,Distributor,43,10,10,10,7,13.5
1,1,Factory,43,10,10,10,7,13.5
1,2,Retailer,44,0,10,10,9,36.5
1,2,Wholesaler,34,10,10,10,19,91.5
1,2,Distributor,24,10,10,10,29,146.5
1,2,Factory,14,10,10,10,39,201.5
1,3,Retailer,36,0,10,0,8,58.5
1,3,Wholesaler,16,10,12,0,18,173.5
1,3,Distributor,0,16,15,0,24,262.5
1,3,Factory,0,35,30,0,14,251.5
1,4,Retailer,37,0,10,7,6,70.0
1,4,Wholesaler,7,10,10,7,16,250.0
1,4,Distributor,0,35,20,7,7,272.5
1,4,Factory,0,52,30,10,10,269.5
1,5,Retailer,41,0,10,19,15,124.5
1,5,Wholesaler,11,10,12,29,25,369.5
1,5,Distributor,0,33,30,39,39,446.5
1,5,Factory,0,111,30,10,10,238.5
1,6,Retailer,42,0,15,18,17,188.5
1,6,Wholesaler,8,15,12,24,27,500.5
1,6,Distributor,0,58,30,14,14,470.5
1,6,Factory,0,125,40,30,30,293.5
1,7,Retailer,50,0,15,16,8,203.5
1,7,Wholesaler,0,23,15,7,15,567.5
1,7,Distributor,0,78,25,10,10,457.5
1,7,Factory,0,130,70,30,30,338.5
