generation,pair,round_actions,payoffs,reasoning_A,reasoning_B,score_A,score_B
1,Agent_0-Agent_1,C-C,3-3,Grim Trigger: continuing cooperation,"Win-Stay, Lose-Shift: default cooperation",3,3
1,Agent_2-Agent_3,C-C,3-3,Grim Trigger: continuing cooperation,Always Cooperate strategy,3,3
1,Agent_4-Agent_5,C-D,0-5,Always Cooperate strategy,Suspicious Tit-for-Tat: starting with defection,0,5
1,Agent_6-Agent_7,D-C,5-0,Suspicious Tit-for-Tat: starting with defection,"Win-Stay, Lose-Shift: default cooperation",5,0
2,Agent_0-Agent_1,C-C,3-3,Grim Trigger: continuing cooperation,"Win-Stay, Lose-Shift: repeating successful move",3,3
2,Agent_2-Agent_3,C-C,3-3,Grim Trigger: continuing cooperation,Always Cooperate strategy,3,3
2,Agent_4-Agent_5,C-C,3-3,Always Cooperate strategy,Suspicious Tit-for-Tat: mirroring opponent's move,3,3
2,Agent_6-Agent_7,C-D,0-5,Suspicious Tit-for-Tat: mirroring opponent's move,"Win-Stay, Lose-Shift: switching due to low payoff",0,5
3,Agent_0-Agent_1,C-C,3-3,Grim Trigger: continuing cooperation,"Win-Stay, Lose-Shift: repeating successful move",3,3
3,Agent_2-Agent_3,C-C,3-3,Grim Trigger: continuing cooperation,Always Cooperate strategy,3,3
3,Agent_4-Agent_5,C-C,3-3,Always Cooperate strategy,Suspicious Tit-for-Tat: mirroring opponent's move,3,3
3,Agent_6-Agent_7,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,"Win-Stay, Lose-Shift: repeating successful move",1,1
