Generation,Average_Score,Pareto_Efficiency,Nash_Deviation,Strategy_Diversity,best_response_diff,mutual_cooperation,mutual_defection,temptation_payoffs,sucker_payoffs,total_payoffs,strategy_distribution
1,43.0,0.8958333333333334,0.5625,8,1.0625,36,4,12,12,344,"{'generous_tit_for_tat': 1, 'tit_for_tat': 1, 'win_stay_lose_shift': 1, 'contrite_tit_for_tat': 1, 'always_cooperate': 1, 'grim_trigger': 1, 'suspicious_tit_for_tat': 1, 'always_defect': 1}"
2,36.25,0.7552083333333334,0.234375,3,0.234375,15,15,19,15,290,"{'generous_tit_for_tat': 5, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 1, 'always_cooperate': 0, 'grim_trigger': 2, 'suspicious_tit_for_tat': 0, 'always_defect': 0}"
3,27.875,0.5807291666666666,0.078125,4,-0.375,5,34,14,11,223,"{'generous_tit_for_tat': 2, 'tit_for_tat': 2, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 2, 'always_cooperate': 0, 'grim_trigger': 2, 'suspicious_tit_for_tat': 0, 'always_defect': 0}"
4,33.0,0.6875,0.203125,4,0.046875,13,23,16,12,264,"{'generous_tit_for_tat': 3, 'tit_for_tat': 1, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 2, 'always_cooperate': 0, 'grim_trigger': 2, 'suspicious_tit_for_tat': 0, 'always_defect': 0}"
5,36.375,0.7578125,0.203125,3,0.1875,13,14,19,18,291,"{'generous_tit_for_tat': 4, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 2, 'always_cooperate': 0, 'grim_trigger': 2, 'suspicious_tit_for_tat': 0, 'always_defect': 0}"
6,36.75,0.765625,0.296875,2,0.359375,19,15,15,15,294,"{'generous_tit_for_tat': 7, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 1, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0}"
7,38.625,0.8046875,0.296875,3,0.4375,19,10,19,16,309,"{'generous_tit_for_tat': 6, 'tit_for_tat': 1, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 1, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0}"
8,31.875,0.6640625,0.15625,3,-0.078125,10,25,17,12,255,"{'generous_tit_for_tat': 6, 'tit_for_tat': 1, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 1, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0}"
9,32.25,0.671875,0.15625,4,-0.0625,10,24,14,16,258,"{'generous_tit_for_tat': 3, 'tit_for_tat': 3, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 1, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 1, 'always_defect': 0}"
10,37.125,0.7734375,0.296875,3,0.375,19,14,13,18,297,"{'generous_tit_for_tat': 5, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 2, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 1, 'always_defect': 0}"
