| generation | round_index | role_name   | inventory | backlog | order_placed | shipment_received | shipment_sent_downstream | profit |
| ---------- | ----------- | ----------- | --------- | ------- | ------------ | ----------------- | ------------------------ | ------ |
| 1          | 1           | Retailer    | 37        | 0       | 10           | 10                | 13                       | 46.5   |
| 1          | 1           | Wholesaler  | 37        | 10      | 10           | 10                | 13                       | 46.5   |
| 1          | 1           | Distributor | 37        | 10      | 10           | 10                | 13                       | 46.5   |
| 1          | 1           | Factory     | 37        | 10      | 10           | 10                | 13                       | 46.5   |
| 1          | 2           | Retailer    | 36        | 0       | 12           | 10                | 11                       | 83.5   |
| 1          | 2           | Wholesaler  | 26        | 12      | 10           | 10                | 21                       | 138.5  |
| 1          | 2           | Distributor | 16        | 10      | 15           | 10                | 31                       | 193.5  |
| 1          | 2           | Factory     | 6         | 15      | 15           | 10                | 41                       | 248.5  |
| 1          | 3           | Retailer    | 27        | 0       | 10           | 0                 | 9                        | 115.0  |
| 1          | 3           | Wholesaler  | 5         | 10      | 10           | 0                 | 21                       | 241.0  |
| 1          | 3           | Distributor | 0         | 25      | 25           | 0                 | 16                       | 258.5  |
| 1          | 3           | Factory     | 0         | 50      | 20           | 0                 | 6                        | 253.5  |
| 1          | 4           | Retailer    | 27        | 0       | 12           | 13                | 13                       | 166.5  |
| 1          | 4           | Wholesaler  | 0         | 17      | 15           | 13                | 18                       | 326.0  |
| 1          | 4           | Distributor | 0         | 45      | 25           | 13                | 13                       | 293.5  |
| 1          | 4           | Factory     | 0         | 78      | 30           | 10                | 10                       | 250.5  |
| 1          | 5           | Retailer    | 37        | 0       | 12           | 21                | 11                       | 203.0  |
| 1          | 5           | Wholesaler  | 3         | 12      | 15           | 31                | 28                       | 464.5  |
| 1          | 5           | Distributor | 0         | 47      | 30           | 41                | 41                       | 466.5  |
| 1          | 5           | Factory     | 0         | 134     | 30           | 15                | 15                       | 221.5  |
| 1          | 6           | Retailer    | 42        | 0       | 16           | 21                | 16                       | 262.0  |
| 1          | 6           | Wholesaler  | 0         | 25      | 20           | 16                | 19                       | 550.5  |
| 1          | 6           | Distributor | 0         | 80      | 30           | 6                 | 6                        | 436.5  |
| 1          | 6           | Factory     | 0         | 150     | 30           | 20                | 20                       | 201.5  |
| 1          | 7           | Retailer    | 50        | 0       | 16           | 18                | 10                       | 287.0  |
| 1          | 7           | Wholesaler  | 0         | 38      | 20           | 13                | 13                       | 593.5  |
| 1          | 7           | Distributor | 0         | 103     | 30           | 10                | 10                       | 403.5  |
| 1          | 7           | Factory     | 0         | 160     | 30           | 30                | 30                       | 221.5  |
|            |             |             |           |         |              |                   |                          |        |
