generation,pair,round_actions,payoffs,reasoning_A,reasoning_B,score_A,score_B
1,Agent_0-Agent_1,C-D,0-5,Generous Tit-for-Tat: default cooperation,Always Defect strategy,0,5
1,Agent_2-Agent_3,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Always Cooperate strategy,3,3
1,Agent_4-Agent_5,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Grim Trigger: continuing cooperation,3,3
1,Agent_6-Agent_7,C-C,3-3,Tit-for-Tat: starting with cooperation,Always Cooperate strategy,3,3
2,Agent_0-Agent_1,C-D,0-5,Generous Tit-for-Tat: forgiving defection,Always Defect strategy,0,5
2,Agent_2-Agent_3,C-C,3-3,Contrite Tit-for-Tat: mirroring opponent's last move,Always Cooperate strategy,3,3
2,Agent_4-Agent_5,C-C,3-3,Contrite Tit-for-Tat: mirroring opponent's last move,Grim Trigger: continuing cooperation,3,3
2,Agent_6-Agent_7,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Always Cooperate strategy,3,3
3,Agent_0-Agent_1,C-D,0-5,Generous Tit-for-Tat: forgiving defection,Always Defect strategy,0,5
3,Agent_2-Agent_3,C-C,3-3,Contrite Tit-for-Tat: mirroring opponent's last move,Always Cooperate strategy,3,3
3,Agent_4-Agent_5,C-C,3-3,Contrite Tit-for-Tat: mirroring opponent's last move,Grim Trigger: continuing cooperation,3,3
3,Agent_6-Agent_7,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Always Cooperate strategy,3,3
