generation,round_index,role_name,inventory,backlog,order_placed,shipment_received,shipment_sent_downstream,profit
1,1,Retailer,43,0,10,10,7,13.5
1,1,Wholesaler,43,10,10,10,7,13.5
1,1,Distributor,43,10,10,10,7,13.5
1,1,Factory,43,10,10,10,7,13.5
1,2,Retailer,37,0,12,10,16,75.0
1,2,Wholesaler,27,12,12,10,26,130.0
1,2,Distributor,17,12,20,10,36,185.0
1,2,Factory,7,20,10,10,46,240.0
1,3,Retailer,25,0,12,0,12,122.5
1,3,Wholesaler,3,12,10,0,24,248.5
1,3,Distributor,0,29,40,0,17,251.0
1,3,Factory,0,70,20,0,7,245.0
1,4,Retailer,17,0,12,7,15,189.0
1,4,Wholesaler,0,29,15,7,10,281.5
1,4,Distributor,0,47,40,7,7,254.0
1,4,Factory,0,107,40,10,10,228.0
1,5,Retailer,39,0,15,26,4,189.5
1,5,Wholesaler,3,15,10,36,33,445.0
1,5,Distributor,0,44,40,46,46,450.0
1,5,Factory,0,183,70,10,10,135.0
1,6,Retailer,49,0,15,24,14,235.0
1,6,Wholesaler,0,24,12,17,20,536.0
1,6,Distributor,0,69,40,7,7,428.0
1,6,Factory,0,210,80,20,20,65.0
1,7,Retailer,48,0,15,10,11,266.0
1,7,Wholesaler,0,43,12,7,7,543.0
1,7,Distributor,0,78,40,10,10,412.0
1,7,Factory,0,220,100,40,40,85.0
