generation,pair,round_actions,payoffs,reasoning_A,reasoning_B,score_A,score_B
1,Agent_4-Agent_8,C-C,3-3,Grim Trigger: continuing cooperation,Contrite Tit-for-Tat: default cooperation,3,3
1,Agent_9-Agent_0,D-C,5-0,Always Defect strategy,Always Cooperate strategy,5,0
1,Agent_5-Agent_1,C-D,0-5,Always Cooperate strategy,Always Defect strategy,0,5
1,Agent_6-Agent_3,D-C,5-0,Suspicious Tit-for-Tat: starting with defection,Grim Trigger: continuing cooperation,5,0
1,Agent_7-Agent_2,C-D,0-5,Always Cooperate strategy,Always Defect strategy,0,5
2,Agent_9-Agent_4,D-C,5-0,Always Defect strategy,Tit-for-Tat: starting with cooperation,5,0
2,Agent_2-Agent_2,D-C,5-0,Always Defect strategy,Generous Tit-for-Tat: default cooperation,5,0
2,Agent_0-Agent_3,C-C,3-3,Tit-for-Tat: starting with cooperation,Tit-for-Tat: starting with cooperation,3,3
2,Agent_1-Agent_1,C-D,0-5,Grim Trigger: continuing cooperation,Always Defect strategy,0,5
2,Agent_4-Agent_6,C-C,3-3,Grim Trigger: continuing cooperation,Suspicious Tit-for-Tat: mirroring opponent's move,3,3
3,Agent_1-Agent_3,D-C,5-0,Random strategy: unpredictable decision,Tit-for-Tat: mirroring opponent's last move,5,0
3,Agent_2-Agent_0,C-C,3-3,Grim Trigger: continuing cooperation,Tit-for-Tat: starting with cooperation,3,3
3,Agent_2-Agent_4,D-C,5-0,Always Defect strategy,Generous Tit-for-Tat: default cooperation,5,0
3,Agent_1-Agent_3,D-C,5-0,Always Defect strategy,Generous Tit-for-Tat: default cooperation,5,0
3,Agent_9-Agent_0,D-C,5-0,Always Defect strategy,Tit-for-Tat: mirroring opponent's last move,5,0
4,Agent_1-Agent_3,D-C,5-0,Suspicious Tit-for-Tat: starting with defection,Contrite Tit-for-Tat: default cooperation,5,0
4,Agent_1-Agent_2,D-C,5-0,Random strategy: unpredictable decision,Grim Trigger: continuing cooperation,5,0
4,Agent_2-Agent_2,D-C,5-0,Always Defect strategy,Generous Tit-for-Tat: default cooperation,5,0
4,Agent_0-Agent_4,C-C,3-3,Grim Trigger: continuing cooperation,Generous Tit-for-Tat: default cooperation,3,3
4,Agent_9-Agent_1,D-D,1-1,Always Defect strategy,Always Defect strategy,1,1
5,Agent_2-Agent_1,D-C,5-0,Always Defect strategy,Suspicious Tit-for-Tat: mirroring opponent's move,5,0
5,Agent_1-Agent_4,D-D,1-1,Random strategy: unpredictable decision,Suspicious Tit-for-Tat: starting with defection,1,1
5,Agent_0-Agent_1,D-C,5-0,Random strategy: unpredictable decision,Tit-for-Tat: starting with cooperation,5,0
5,Agent_3-Agent_2,C-D,0-5,Contrite Tit-for-Tat: default cooperation,Always Defect strategy,0,5
5,Agent_4-Agent_0,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Grim Trigger: continuing cooperation,3,3
