generation,pair,round_actions,payoffs,reasoning_A,reasoning_B,score_A,score_B
1,Agent_4-Agent_0,C-C,3-3,Always Cooperate strategy,Contrite Tit-for-Tat: default cooperation,3,3
1,Agent_2-Agent_1,C-D,0-5,Contrite Tit-for-Tat: default cooperation,Always Defect strategy,0,5
2,Agent_0-Agent_4,C-C,3-3,Generous Tit-for-Tat: default cooperation,Always Cooperate strategy,3,3
2,Agent_1-Agent_1,C-D,0-5,Tit-for-Tat: starting with cooperation,Always Defect strategy,0,5
3,Agent_0-Agent_0,D-C,5-0,Always Defect strategy,Generous Tit-for-Tat: mirroring last move,5,0
3,Agent_1-Agent_1,C-D,0-5,Always Cooperate strategy,Always Defect strategy,0,5
4,Agent_1-Agent_0,C-D,0-5,"Win-Stay, Lose-Shift: default cooperation",Always Defect strategy,0,5
4,Agent_0-Agent_1,C-D,0-5,Generous Tit-for-Tat: default cooperation,Always Defect strategy,0,5
5,Agent_0-Agent_1,D-D,1-1,Always Defect strategy,Always Defect strategy,1,1
5,Agent_1-Agent_0,C-D,0-5,Tit-for-Tat: starting with cooperation,Always Defect strategy,0,5
6,Agent_0-Agent_0,D-C,5-0,Always Defect strategy,Tit-for-Tat: starting with cooperation,5,0
6,Agent_0-Agent_1,D-C,5-0,Always Defect strategy,"Win-Stay, Lose-Shift: default cooperation",5,0
7,Agent_1-Agent_0,D-D,1-1,Always Defect strategy,Always Defect strategy,1,1
7,Agent_0-Agent_0,C-D,0-5,Always Cooperate strategy,Always Defect strategy,0,5
8,Agent_0-Agent_1,C-D,0-5,Tit-for-Tat: starting with cooperation,Always Defect strategy,0,5
8,Agent_1-Agent_0,C-D,0-5,"Win-Stay, Lose-Shift: default cooperation",Always Defect strategy,0,5
9,Agent_1-Agent_0,C-D,0-5,"Win-Stay, Lose-Shift: default cooperation",Always Defect strategy,0,5
9,Agent_1-Agent_0,D-C,5-0,Always Defect strategy,"Win-Stay, Lose-Shift: default cooperation",5,0
10,Agent_1-Agent_0,D-D,1-1,Always Defect strategy,Always Defect strategy,1,1
10,Agent_1-Agent_0,C-C,3-3,Contrite Tit-for-Tat: default cooperation,Contrite Tit-for-Tat: default cooperation,3,3
11,Agent_1-Agent_1,C-C,3-3,Tit-for-Tat: starting with cooperation,Contrite Tit-for-Tat: mirroring opponent's last move,3,3
11,Agent_0-Agent_0,C-C,3-3,Contrite Tit-for-Tat: mirroring opponent's last move,Grim Trigger: continuing cooperation,3,3
12,Agent_1-Agent_1,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Contrite Tit-for-Tat: mirroring opponent's last move,3,3
12,Agent_1-Agent_0,C-D,0-5,Always Cooperate strategy,Always Defect strategy,0,5
13,Agent_0-Agent_1,D-C,5-0,Always Defect strategy,Generous Tit-for-Tat: default cooperation,5,0
