Generation,Average_Score,Pareto_Efficiency,Nash_Deviation,Strategy_Diversity,mutual_cooperation,mutual_defection,temptation_payoffs,sucker_payoffs,total_payoffs
1,2.5,0.8333333333333334,0.8,10,3,1,1,0,25
2,2.6,0.8666666666666667,0.8,10,4,1,0,0,26
3,2.9,0.9666666666666667,1.0,10,4,0,0,1,29
4,2.6,0.8666666666666667,1.0,10,1,0,1,3,26
5,2.8,0.9333333333333333,1.0,10,3,0,1,1,28
6,2.1,0.7,0.6,10,2,2,1,0,21
7,2.7,0.9,1.0,10,2,0,0,3,27
8,2.8,0.9333333333333333,1.0,10,3,0,0,2,28
9,2.6,0.8666666666666667,1.0,10,1,0,1,3,26
10,2.3,0.7666666666666667,0.8,10,1,1,2,1,23
