Generation,Average_Score,Pareto_Efficiency,Nash_Deviation,Strategy_Diversity,mutual_cooperation,mutual_defection,temptation_payoffs,sucker_payoffs,total_payoffs
1,2.4,0.8,0.8,10,2,1,2,0,24
2,2.9,0.9666666666666667,1.0,10,4,0,1,0,29
3,2.8,0.9333333333333333,1.0,10,3,0,0,2,28
4,2.6,0.8666666666666667,0.8,10,4,1,0,0,26
5,3.0,1.0,1.0,10,5,0,0,0,30
6,2.9,0.9666666666666667,1.0,10,4,0,1,0,29
7,2.6,0.8666666666666667,1.0,10,1,0,2,2,26
8,2.4,0.8,0.8,10,2,1,2,0,24
9,2.9,0.9666666666666667,1.0,10,4,0,1,0,29
10,2.7,0.9,1.0,10,2,0,2,1,27
11,2.4,0.8,0.8,10,2,1,1,1,24
12,2.4,0.8,0.8,10,2,1,2,0,24
13,2.4,0.8,0.8,10,2,1,2,0,24
14,2.6,0.8666666666666667,0.8,10,4,1,0,0,26
15,2.9,0.9666666666666667,1.0,10,4,0,0,1,29
16,2.9,0.9666666666666667,1.0,10,4,0,0,1,29
17,3.0,1.0,1.0,10,5,0,0,0,30
18,3.0,1.0,1.0,10,5,0,0,0,30
19,2.9,0.9666666666666667,1.0,10,4,0,1,0,29
20,2.8,0.9333333333333333,1.0,10,3,0,2,0,28
