generation,pair,round_actions,payoffs,reasoning_A,reasoning_B,score_A,score_B
1,Agent_1-Agent_2,C-C,3-3,Always Cooperate strategy,Tit-for-Tat: starting with cooperation,3,3
1,Agent_3-Agent_4,D-C,5-0,Always Defect strategy,"Win-Stay, Lose-Shift: default cooperation",5,0
1,Agent_5-Agent_6,D-C,5-0,Suspicious Tit-for-Tat: starting with defection,Contrite Tit-for-Tat: default cooperation,5,0
1,Agent_7-Agent_8,C-C,3-3,Grim Trigger: continuing cooperation,Generous Tit-for-Tat: default cooperation,3,3
2,Agent_1-Agent_2,C-C,3-3,Always Cooperate strategy,Tit-for-Tat: mirroring opponent's last move,3,3
2,Agent_3-Agent_4,D-D,1-1,Always Defect strategy,"Win-Stay, Lose-Shift: switching due to low payoff",1,1
2,Agent_5-Agent_6,C-D,0-5,Suspicious Tit-for-Tat: mirroring opponent's move,Contrite Tit-for-Tat: mirroring opponent's last move,0,5
2,Agent_7-Agent_8,C-C,3-3,Grim Trigger: continuing cooperation,Generous Tit-for-Tat: mirroring last move,3,3
3,Agent_1-Agent_2,C-C,3-3,Always Cooperate strategy,Tit-for-Tat: mirroring opponent's last move,3,3
3,Agent_3-Agent_4,D-C,5-0,Always Defect strategy,"Win-Stay, Lose-Shift: switching due to low payoff",5,0
3,Agent_5-Agent_6,D-C,5-0,Suspicious Tit-for-Tat: mirroring opponent's move,Contrite Tit-for-Tat: mirroring opponent's last move,5,0
3,Agent_7-Agent_8,C-C,3-3,Grim Trigger: continuing cooperation,Generous Tit-for-Tat: mirroring last move,3,3
