Generation,Average_Score,Pareto_Efficiency,Nash_Deviation,Strategy_Diversity,best_response_diff,mutual_cooperation,mutual_defection,temptation_payoffs,sucker_payoffs,total_payoffs,strategy_distribution
1,1.0,0.3333333333333333,0.0,2,-1.0,0,1,0,0,2,"{'generous_tit_for_tat': 0, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 2, 'always_defect': 0, 'random': 0}"
2,0.5,0.3333333333333333,0.0,2,-1.0,0,1,0,0,2,"{'generous_tit_for_tat': 0, 'tit_for_tat': 1, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 1, 'always_defect': 0, 'random': 0}"
3,0.5,0.3333333333333333,0.0,2,-1.0,0,1,0,0,2,"{'generous_tit_for_tat': 0, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 1, 'grim_trigger': 0, 'suspicious_tit_for_tat': 1, 'always_defect': 0, 'random': 0}"
4,0.5,0.3333333333333333,0.0,2,-1.0,0,1,0,0,2,"{'generous_tit_for_tat': 0, 'tit_for_tat': 0, 'win_stay_lose_shift': 1, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 1, 'always_defect': 0, 'random': 0}"
5,0.5,0.3333333333333333,0.0,2,-1.0,0,1,0,0,2,"{'generous_tit_for_tat': 0, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 1, 'grim_trigger': 0, 'suspicious_tit_for_tat': 1, 'always_defect': 0, 'random': 0}"
6,0.5,0.3333333333333333,0.0,2,-1.0,0,1,0,0,2,"{'generous_tit_for_tat': 1, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 1, 'always_defect': 0, 'random': 0}"
7,0.5,0.3333333333333333,0.0,2,-1.0,0,1,0,0,2,"{'generous_tit_for_tat': 0, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 2, 'always_defect': 0, 'random': 0}"
8,0.5,0.3333333333333333,0.0,2,-1.0,0,1,0,0,2,"{'generous_tit_for_tat': 0, 'tit_for_tat': 1, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 1, 'always_defect': 0, 'random': 0}"
9,0.5,0.3333333333333333,0.0,2,-1.0,0,1,0,0,2,"{'generous_tit_for_tat': 0, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 1, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 1, 'always_defect': 0, 'random': 0}"
10,0.5,0.3333333333333333,0.0,2,-1.0,0,1,0,0,2,"{'generous_tit_for_tat': 0, 'tit_for_tat': 1, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 1, 'always_defect': 0, 'random': 0}"
11,0.5,0.3333333333333333,0.0,2,-1.0,0,1,0,0,2,"{'generous_tit_for_tat': 1, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 1, 'always_defect': 0, 'random': 0}"
12,0.5,0.3333333333333333,0.0,2,-1.0,0,1,0,0,2,"{'generous_tit_for_tat': 1, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 1, 'always_defect': 0, 'random': 0}"
13,0.5,0.3333333333333333,0.0,2,-1.0,0,1,0,0,2,"{'generous_tit_for_tat': 0, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 1, 'grim_trigger': 0, 'suspicious_tit_for_tat': 1, 'always_defect': 0, 'random': 0}"
14,0.5,0.3333333333333333,0.0,2,-1.0,0,1,0,0,2,"{'generous_tit_for_tat': 0, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 1, 'always_defect': 0, 'random': 1}"
15,0.5,0.3333333333333333,0.0,2,-1.0,0,1,0,0,2,"{'generous_tit_for_tat': 0, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 1, 'always_defect': 0, 'random': 1}"
16,0.5,0.3333333333333333,0.0,2,-1.0,0,1,0,0,2,"{'generous_tit_for_tat': 0, 'tit_for_tat': 0, 'win_stay_lose_shift': 1, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 1, 'always_defect': 0, 'random': 0}"
17,0.5,0.3333333333333333,0.0,2,-1.0,0,1,0,0,2,"{'generous_tit_for_tat': 0, 'tit_for_tat': 1, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 1, 'always_defect': 0, 'random': 0}"
18,0.5,0.3333333333333333,0.0,2,-1.0,0,1,0,0,2,"{'generous_tit_for_tat': 0, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 1, 'always_defect': 1, 'random': 0}"
