generation,pair,round_actions,payoffs,reasoning_A,reasoning_B,score_A,score_B
1,Agent_0-Agent_1,D-D,1-1,Suspicious Tit-for-Tat: starting with defection,Suspicious Tit-for-Tat: starting with defection,1,1
2,Agent_0-Agent_1,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,1,2
3,Agent_0-Agent_1,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,1,3
4,Agent_0-Agent_1,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,1,4
5,Agent_0-Agent_1,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,1,5
6,Agent_0-Agent_1,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,1,6
7,Agent_0-Agent_1,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,1,7
8,Agent_0-Agent_1,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,1,8
9,Agent_0-Agent_1,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,1,9
10,Agent_0-Agent_1,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,1,10
11,Agent_0-Agent_1,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,1,11
12,Agent_0-Agent_1,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,1,12
13,Agent_0-Agent_1,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,1,13
14,Agent_0-Agent_1,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,1,14
15,Agent_0-Agent_1,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,1,15
16,Agent_0-Agent_1,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,1,16
17,Agent_0-Agent_1,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,1,17
18,Agent_0-Agent_1,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,1,18
19,Agent_0-Agent_1,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,1,19
20,Agent_0-Agent_1,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,1,20
21,Agent_0-Agent_1,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,1,21
22,Agent_0-Agent_1,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,1,22
23,Agent_0-Agent_1,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,1,23
24,Agent_0-Agent_1,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,1,24
25,Agent_0-Agent_1,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,1,25
26,Agent_0-Agent_1,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,1,26
27,Agent_0-Agent_1,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,1,27
28,Agent_0-Agent_1,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,1,28
29,Agent_0-Agent_1,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,1,29
30,Agent_0-Agent_1,D-D,1-1,Suspicious Tit-for-Tat: mirroring opponent's move,Suspicious Tit-for-Tat: mirroring opponent's move,1,30
