generation,pair,round_actions,payoffs,reasoning_A,reasoning_B,score_A,score_B
1,Agent_0-Agent_1,C-C,3-3,Generous Tit-for-Tat: default cooperation,Always Cooperate strategy,3,3
1,Agent_2-Agent_3,C-C,3-3,Generous Tit-for-Tat: default cooperation,Grim Trigger: continuing cooperation,3,3
1,Agent_4-Agent_5,C-D,0-5,Tit-for-Tat: starting with cooperation,Always Defect strategy,0,5
1,Agent_6-Agent_7,D-C,5-0,Suspicious Tit-for-Tat: starting with defection,Contrite Tit-for-Tat: default cooperation,5,0
1,Agent_8-Agent_9,C-C,3-3,Tit-for-Tat: starting with cooperation,Generous Tit-for-Tat: default cooperation,3,3
2,Agent_0-Agent_1,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Always Cooperate strategy,3,3
2,Agent_2-Agent_3,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Grim Trigger: continuing cooperation,3,3
2,Agent_4-Agent_5,D-D,1-1,Tit-for-Tat: mirroring opponent's last move,Always Defect strategy,1,1
2,Agent_6-Agent_7,C-D,0-5,Suspicious Tit-for-Tat: mirroring opponent's move,Contrite Tit-for-Tat: mirroring opponent's last move,0,5
2,Agent_8-Agent_9,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,3,3
3,Agent_0-Agent_1,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Always Cooperate strategy,3,3
3,Agent_2-Agent_3,C-C,3-3,Generous Tit-for-Tat: mirroring last move,Grim Trigger: continuing cooperation,3,3
3,Agent_4-Agent_5,D-D,1-1,Tit-for-Tat: mirroring opponent's last move,Always Defect strategy,1,1
3,Agent_6-Agent_7,D-C,5-0,Suspicious Tit-for-Tat: mirroring opponent's move,Contrite Tit-for-Tat: mirroring opponent's last move,5,0
3,Agent_8-Agent_9,C-C,3-3,Tit-for-Tat: mirroring opponent's last move,Generous Tit-for-Tat: mirroring last move,3,3
