Generation,Average_Score,Pareto_Efficiency,Nash_Deviation,Strategy_Diversity,best_response_diff,mutual_cooperation,mutual_defection,temptation_payoffs,sucker_payoffs,total_payoffs,strategy_distribution
1,1.75,0.5833333333333334,0.0,8,-0.5,0,2,0,2,14,"{'generous_tit_for_tat': 0, 'tit_for_tat': 1, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 1, 'random': 0, 'soft_majority': 0, 'hard_majority': 1, 'prober': 0, 'soft_grim': 1, 'hard_tit_for_tat': 0, 'soft_tit_for_tat': 1, 'adaptive': 1, 'pavlov': 1, 'reverse_tit_for_tat': 0, 'bully': 1, 'peace_maker': 0}"
2,2.25,0.75,0.25,3,0.25,1,1,1,1,18,"{'generous_tit_for_tat': 0, 'tit_for_tat': 4, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 3, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0, 'random': 0, 'soft_majority': 0, 'hard_majority': 0, 'prober': 0, 'soft_grim': 0, 'hard_tit_for_tat': 0, 'soft_tit_for_tat': 1, 'adaptive': 0, 'pavlov': 0, 'reverse_tit_for_tat': 0, 'bully': 0, 'peace_maker': 0}"
3,2.75,0.9166666666666666,0.5,4,1.0,2,0,1,1,22,"{'generous_tit_for_tat': 3, 'tit_for_tat': 1, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 3, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0, 'random': 0, 'soft_majority': 0, 'hard_majority': 0, 'prober': 0, 'soft_grim': 0, 'hard_tit_for_tat': 0, 'soft_tit_for_tat': 1, 'adaptive': 0, 'pavlov': 0, 'reverse_tit_for_tat': 0, 'bully': 0, 'peace_maker': 0}"
4,2.75,0.9166666666666666,0.5,3,1.0,2,0,1,1,22,"{'generous_tit_for_tat': 3, 'tit_for_tat': 2, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 3, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0, 'random': 0, 'soft_majority': 0, 'hard_majority': 0, 'prober': 0, 'soft_grim': 0, 'hard_tit_for_tat': 0, 'soft_tit_for_tat': 0, 'adaptive': 0, 'pavlov': 0, 'reverse_tit_for_tat': 0, 'bully': 0, 'peace_maker': 0}"
5,2.875,0.9583333333333334,0.75,2,1.5,3,0,1,0,23,"{'generous_tit_for_tat': 5, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 3, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0, 'random': 0, 'soft_majority': 0, 'hard_majority': 0, 'prober': 0, 'soft_grim': 0, 'hard_tit_for_tat': 0, 'soft_tit_for_tat': 0, 'adaptive': 0, 'pavlov': 0, 'reverse_tit_for_tat': 0, 'bully': 0, 'peace_maker': 0}"
6,2.875,0.9583333333333334,0.75,3,1.5,3,0,0,1,23,"{'generous_tit_for_tat': 5, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 2, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0, 'random': 0, 'soft_majority': 0, 'hard_majority': 0, 'prober': 0, 'soft_grim': 0, 'hard_tit_for_tat': 0, 'soft_tit_for_tat': 1, 'adaptive': 0, 'pavlov': 0, 'reverse_tit_for_tat': 0, 'bully': 0, 'peace_maker': 0}"
7,2.875,0.9583333333333334,0.75,3,1.5,3,0,1,0,23,"{'generous_tit_for_tat': 5, 'tit_for_tat': 1, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 2, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0, 'random': 0, 'soft_majority': 0, 'hard_majority': 0, 'prober': 0, 'soft_grim': 0, 'hard_tit_for_tat': 0, 'soft_tit_for_tat': 0, 'adaptive': 0, 'pavlov': 0, 'reverse_tit_for_tat': 0, 'bully': 0, 'peace_maker': 0}"
8,2.875,0.9583333333333334,0.75,2,1.5,3,0,0,1,23,"{'generous_tit_for_tat': 6, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 2, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0, 'random': 0, 'soft_majority': 0, 'hard_majority': 0, 'prober': 0, 'soft_grim': 0, 'hard_tit_for_tat': 0, 'soft_tit_for_tat': 0, 'adaptive': 0, 'pavlov': 0, 'reverse_tit_for_tat': 0, 'bully': 0, 'peace_maker': 0}"
9,2.875,0.9583333333333334,0.75,2,1.5,3,0,1,0,23,"{'generous_tit_for_tat': 7, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 1, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0, 'random': 0, 'soft_majority': 0, 'hard_majority': 0, 'prober': 0, 'soft_grim': 0, 'hard_tit_for_tat': 0, 'soft_tit_for_tat': 0, 'adaptive': 0, 'pavlov': 0, 'reverse_tit_for_tat': 0, 'bully': 0, 'peace_maker': 0}"
10,2.875,0.9583333333333334,0.75,2,1.5,3,0,0,1,23,"{'generous_tit_for_tat': 6, 'tit_for_tat': 0, 'win_stay_lose_shift': 0, 'contrite_tit_for_tat': 0, 'always_cooperate': 0, 'grim_trigger': 0, 'suspicious_tit_for_tat': 0, 'always_defect': 0, 'random': 0, 'soft_majority': 0, 'hard_majority': 0, 'prober': 0, 'soft_grim': 0, 'hard_tit_for_tat': 0, 'soft_tit_for_tat': 2, 'adaptive': 0, 'pavlov': 0, 'reverse_tit_for_tat': 0, 'bully': 0, 'peace_maker': 0}"
