generation,round_index,role_name,inventory,backlog,order_placed,shipment_received,shipment_sent_downstream,cost
1,1,Retailer,0,0,18,0,0,0.0
1,1,Wholesaler,0,0,15,0,0,0.0
1,1,Distributor,0,0,15,0,0,0.0
1,1,Factory,0,0,14,0,0,0.0
1,2,Retailer,0,11,16,0,0,11.0
1,2,Wholesaler,0,11,16,0,0,11.0
1,2,Distributor,0,11,18,0,0,11.0
1,2,Factory,0,11,16,0,0,11.0
1,3,Retailer,0,22,20,0,0,33.0
1,3,Wholesaler,0,22,18,0,0,33.0
1,3,Distributor,0,22,18,0,0,33.0
1,3,Factory,0,22,18,0,0,33.0
1,4,Retailer,8,22,18,18,0,59.0
1,4,Wholesaler,5,22,16,15,0,57.5
1,4,Distributor,5,22,18,15,0,57.5
1,4,Factory,4,22,14,14,0,57.0
1,5,Retailer,15,22,18,16,0,88.5
1,5,Wholesaler,12,22,18,16,0,85.5
1,5,Distributor,14,22,16,18,0,86.5
1,5,Factory,11,22,12,16,0,84.5
