| generation | round_index | role_name   | inventory | backlog | order_placed | shipment_received | shipment_sent_downstream | profit |
| ---------- | ----------- | ----------- | --------- | ------- | ------------ | ----------------- | ------------------------ | ------ |
| 1          | 1           | Retailer    | 41        | 0       | 10           | 10                | 9                        | 24.5   |
| 1          | 1           | Wholesaler  | 41        | 10      | 10           | 10                | 9                        | 24.5   |
| 1          | 1           | Distributor | 41        | 10      | 10           | 10                | 9                        | 24.5   |
| 1          | 1           | Factory     | 41        | 10      | 10           | 10                | 9                        | 24.5   |
| 1          | 2           | Retailer    | 36        | 0       | 12           | 10                | 15                       | 81.5   |
| 1          | 2           | Wholesaler  | 26        | 12      | 12           | 10                | 25                       | 136.5  |
| 1          | 2           | Distributor | 16        | 12      | 20           | 10                | 35                       | 191.5  |
| 1          | 2           | Factory     | 6         | 20      | 20           | 10                | 45                       | 246.5  |
| 1          | 3           | Retailer    | 27        | 0       | 12           | 0                 | 9                        | 113.0  |
| 1          | 3           | Wholesaler  | 5         | 12      | 15           | 0                 | 21                       | 239.0  |
| 1          | 3           | Distributor | 0         | 32      | 20           | 0                 | 16                       | 254.5  |
| 1          | 3           | Factory     | 0         | 50      | 30           | 0                 | 6                        | 246.5  |
| 1          | 4           | Retailer    | 26        | 0       | 12           | 9                 | 10                       | 150.0  |
| 1          | 4           | Wholesaler  | 0         | 20      | 12           | 9                 | 14                       | 301.0  |
| 1          | 4           | Distributor | 0         | 49      | 20           | 9                 | 9                        | 262.5  |
| 1          | 4           | Factory     | 0         | 69      | 50           | 10                | 10                       | 247.5  |
| 1          | 5           | Retailer    | 38        | 0       | 12           | 25                | 13                       | 196.0  |
| 1          | 5           | Wholesaler  | 2         | 12      | 12           | 35                | 33                       | 465.0  |
| 1          | 5           | Distributor | 0         | 49      | 20           | 45                | 45                       | 450.5  |
| 1          | 5           | Factory     | 0         | 114     | 50           | 20                | 20                       | 253.5  |
| 1          | 6           | Retailer    | 48        | 0       | 12           | 21                | 11                       | 227.0  |
| 1          | 6           | Wholesaler  | 0         | 17      | 15           | 16                | 18                       | 550.0  |
| 1          | 6           | Distributor | 0         | 76      | 30           | 6                 | 6                        | 419.5  |
| 1          | 6           | Factory     | 0         | 120     | 90           | 30                | 30                       | 313.5  |
| 1          | 7           | Retailer    | 53        | 0       | 12           | 14                | 9                        | 245.5  |
| 1          | 7           | Wholesaler  | 0         | 29      | 15           | 9                 | 9                        | 578.0  |
| 1          | 7           | Distributor | 0         | 90      | 30           | 10                | 10                       | 394.5  |
| 1          | 7           | Factory     | 0         | 110     | 90           | 50                | 50                       | 483.5  |
|            |             |             |           |         |              |                   |                          |        |
