generation,round_index,role_name,inventory,backlog,order_placed,shipment_received,shipment_sent_downstream,profit
1,1,Retailer,42,0,10,10,8,19.0
1,1,Wholesaler,42,10,10,10,8,19.0
1,1,Distributor,42,10,10,10,8,19.0
1,1,Factory,42,10,10,10,8,19.0
1,2,Retailer,44,0,10,10,8,37.0
1,2,Wholesaler,34,10,10,10,18,92.0
1,2,Distributor,24,10,10,10,28,147.0
1,2,Factory,14,10,10,10,38,202.0
1,3,Retailer,44,0,10,8,8,55.0
1,3,Wholesaler,24,10,10,8,18,170.0
1,3,Distributor,4,10,10,8,28,285.0
1,3,Factory,0,24,10,10,24,308.0
1,4,Retailer,55,0,10,18,7,62.5
1,4,Wholesaler,35,10,10,28,17,237.5
1,4,Distributor,15,10,10,38,27,412.5
1,4,Factory,0,51,10,10,10,317.0
1,5,Retailer,57,0,10,18,16,114.0
1,5,Wholesaler,37,10,10,28,26,349.0
1,5,Distributor,3,10,10,24,36,591.0
1,5,Factory,0,87,10,10,10,290.0
1,6,Retailer,64,0,10,17,10,132.0
1,6,Wholesaler,44,10,10,27,20,427.0
1,6,Distributor,0,27,10,10,13,639.0
1,6,Factory,0,100,10,10,10,250.0
1,7,Retailer,77,0,10,26,13,158.5
1,7,Wholesaler,57,10,10,36,23,513.5
1,7,Distributor,0,50,10,10,10,649.0
1,7,Factory,0,110,10,10,10,200.0
